sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_042_SRF_lt-0.22_G	TARA_R100000149	metaG	45886177	38369141.9997345	0.836180839378588	7648150778	5178878530.36316	0.677141269921126	631.414925731725
TARA_045_SRF_0.22-1.6_G	TARA_B100000161	metaG	186047950	136389659.995903	0.733088754785544	32482641308	19783451468.2031	0.609046883860726	631.414925731725
TARA_045_SRF_lt-0.22_G	TARA_R100000388	metaG	54098256	45950961.0002964	0.849398195023077	8845077579	6120166079.06249	0.691929044646595	631.414925731725
TARA_046_SRF_lt-0.22_G	TARA_R100000406	metaG	30807858	24635072.9999334	0.79963602143107	4319202864	2876743682.54367	0.66603578788136	631.414925731725
TARA_048_SRF_0.1-0.22_G	TARA_Y100000114	metaG	87159897	66883475.0009649	0.767365236801104	15424581813	9786095051.05766	0.634447997987851	631.414925731725
TARA_048_SRF_0.22-1.6_G	TARA_B100000242	metaG	225703126	170777328.004423	0.756645825119954	37415337514	23533955336.129	0.628992196778209	631.414925731725
TARA_048_SRF_lt-0.22_G	TARA_R100000426	metaG	40541193	34650376.9996647	0.85469554385498	6264947417	4385363274.093	0.699984051293594	631.414925731725
TARA_052_DCM_0.22-1.6_G	TARA_B100000214	metaG	186015897	133319628.995696	0.716710943235655	32780527474	19542417416.5148	0.59615933367805	631.414925731725
TARA_052_DCM_lt-0.22_G	TARA_R100000234	metaG	42959850	33331113.9996339	0.775866628948517	7114546930	4404068971.5427	0.619023110659655	631.414925731725
TARA_052_SRF_0.22-1.6_G	TARA_B100000212	metaG	191805902	144620939.998293	0.753996297769259	33700077453	21182373420.9672	0.628555630191335	631.414925731725
TARA_052_SRF_lt-0.22_G	TARA_R100000231	metaG	43987581	36457884.9996732	0.828822230521682	6896296934	4694955526.9371	0.680793703036496	631.414925731725
TARA_056_MES_0.22-3_G	TARA_B100000378	metaG	194356268	127631149.996992	0.656686564886047	31249984054	17229019100.4782	0.551328892542999	631.414925731725
TARA_056_MES_lt-0.22_G	TARA_R100000365	metaG	47251245	34261905.999916	0.725100597876648	7311710738	4456925830.00728	0.609559922391897	631.414925731725
TARA_056_SRF_0.22-3_G	TARA_B000000609	metaG	154193234	104109961.997476	0.67519150676531	27147736134	15592465023.1187	0.574355995879546	631.414925731725
TARA_056_SRF_lt-0.22_G	TARA_R100000353	metaG	48676816	40238590.9998448	0.826647967275526	7591688058	5142296085.5822	0.677358717362384	631.414925731725
TARA_057_SRF_0.22-3_G	TARA_B000000565	metaG	156993109	112808788.996297	0.718558857231735	25283526505	15528518969.0876	0.614175359043239	631.414925731725
