Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.011524216	11QZK	0.934648809	OG	N-acetyltransferase GCN5	Function unknown
OM-RGC.v2.040907450	110V4	0.934387722	OG		Function unknown
OM-RGC.v2.001832111	1000H	0.934339298	OG		Function unknown
OM-RGC.v2.011697813	0ZMGR	0.933758353	OG		Function unknown
OM-RGC.v2.008305850	0ZPVQ	0.933751891	OG		Function unknown
OM-RGC.v2.007549794	0ZK33	0.933588554	OG		Function unknown
OM-RGC.v2.006126215	123NT	0.932585167	OG	GCN5-related N-acetyltransferase	Function unknown
OM-RGC.v2.000140550	1000H	0.93251078	OG		Function unknown
OM-RGC.v2.005302247	0ZC4C	0.932471312	OG	Methyltransferase domain	Function unknown
OM-RGC.v2.029126739	0ZF0U	0.932154228	OG		Function unknown
OM-RGC.v2.036985511	1109Z	0.932025715	OG		Function unknown
OM-RGC.v2.023868746	0ZDG2	0.931951514	OG		Function unknown
OM-RGC.v2.008623137	0ZB3U	0.931914055	OG	Avidin family	Function unknown
OM-RGC.v2.034340024	0YSW2	0.931604886	OG	Major Facilitator Superfamily	Function unknown
OM-RGC.v2.014990784	COG2100	0.931365884	OG	"Uncharacterized Fe-S cluster-containing enzyme, radical SAM superfamily"	Function unknown
OM-RGC.v2.006819900	0ZHYY	0.931093315	OG	Pentapeptide repeats (8 copies)	Function unknown
OM-RGC.v2.000723545	0ZMJ0	0.930859509	OG		Function unknown
OM-RGC.v2.040966372	0XQ1R	0.930773806	OG	Acetyltransferase (GNAT) family	Function unknown
OM-RGC.v2.003157211	0ZXB5	0.930302114	OG	EamA-like transporter family	Function unknown
OM-RGC.v2.010499620	0ZV57	0.930084012	OG		Function unknown
OM-RGC.v2.002547859	10ZI2	0.929900842	OG		Function unknown
OM-RGC.v2.039334129	0Y5DX	0.929871874	OG	Protein of unknown function (DUF3298)	Function unknown
OM-RGC.v2.003126518	0Z1GP	0.929772423	OG		Function unknown
OM-RGC.v2.010223069	0ZZSE	0.929734466	OG		Function unknown
OM-RGC.v2.038174512	11131	0.929731166	OG		Function unknown
OM-RGC.v2.000050710	12C6J	0.929581817	OG	YCII-related domain	Function unknown
OM-RGC.v2.002862734	0XV06	0.929538756	OG		Function unknown
OM-RGC.v2.042178272	1109Z	0.929484354	OG		Function unknown
OM-RGC.v2.042266068	0YFRD	0.929409233	OG	WD40-like Beta Propeller Repeat	Function unknown
OM-RGC.v2.000475629	0ZS1I	0.928935901	OG	Nucleotidyl transferase of unknown function (DUF1814)	Function unknown
OM-RGC.v2.036215325	12C4M	0.928920369	OG		Function unknown
OM-RGC.v2.002220752	0ZMJ0	0.928889938	OG		Function unknown
OM-RGC.v2.011548894	0YV61	0.928843134	OG		Function unknown
OM-RGC.v2.037906444	0YS1W	0.928823401	OG		Function unknown
OM-RGC.v2.000934312	0YX3S	0.928091818	OG		Function unknown
OM-RGC.v2.013663401	10S8B	0.928031992	OG	von Willebrand factor D and EGF	Function unknown
OM-RGC.v2.009210107	0YS1W	0.927339414	OG		Function unknown
OM-RGC.v2.020519167	0YZXU	0.927217391	OG	Pfam:DUF2081	Function unknown
OM-RGC.v2.044404710	111F9	0.926883427	OG		Function unknown
OM-RGC.v2.037050404	11P7C	0.926590298	OG		Function unknown
OM-RGC.v2.006931367	0Z3ES	0.926562896	OG		Function unknown
OM-RGC.v2.037372347	111F9	0.926379662	OG		Function unknown
OM-RGC.v2.016105790	1114I	0.926360757	OG		Function unknown
OM-RGC.v2.030136239	0YAU1	0.926092992	OG		Function unknown
OM-RGC.v2.034263688	0YS1W	0.925995993	OG		Function unknown
OM-RGC.v2.036434195	0ZPVQ	0.925790058	OG		Function unknown
OM-RGC.v2.011235465	0XU9I	0.925677142	OG	Domain of unknown function (DUF385)	Function unknown
OM-RGC.v2.001709996	11T9U	0.924950196	OG		Function unknown
OM-RGC.v2.000323022	0YNC5	0.924227485	OG		Function unknown
OM-RGC.v2.031656951	0XZ38	0.923963399	OG		Function unknown
OM-RGC.v2.015275100	108BQ	0.923671607	OG		Function unknown
OM-RGC.v2.002500740	11GQB	0.923613223	OG	NurA domain	Function unknown
OM-RGC.v2.001025789	0ZDEW	0.923504218	OG		Function unknown
OM-RGC.v2.042882513	10ZJX	0.923222633	OG		Function unknown
OM-RGC.v2.014639225	12BRR	0.92280898	OG		Function unknown
OM-RGC.v2.033134699	0YIYT	0.922639755	OG		Function unknown
OM-RGC.v2.000662294	0ZGTV	0.922589262	OG		Function unknown
OM-RGC.v2.028266610	0YEU4	0.922533017	OG		Function unknown
OM-RGC.v2.014431730	0XZRP	0.922447149	OG		Function unknown
OM-RGC.v2.010157731	0ZAB6	0.922267163	OG		Function unknown
OM-RGC.v2.014998321	10DKM	0.921982785	OG		Function unknown
OM-RGC.v2.044162812	10ZQM	0.921609337	OG		Function unknown
OM-RGC.v2.008573110	0ZS1I	0.921583476	OG	Nucleotidyl transferase of unknown function (DUF1814)	Function unknown
OM-RGC.v2.030340919	0ZK33	0.920781656	OG		Function unknown
OM-RGC.v2.026527029	0ZX3K	0.920697148	OG		Function unknown
OM-RGC.v2.000435729	0XUFP	0.920361975	OG	Peptidase family M28	Function unknown
OM-RGC.v2.000561845	0ZT12	0.920288354	OG		Function unknown
OM-RGC.v2.040762680	110V4	0.920064867	OG		Function unknown
OM-RGC.v2.035979974	111EB	0.919837741	OG		Function unknown
OM-RGC.v2.001803958	0YSKC	0.919622724	OG	BNR/Asp-box repeat	Function unknown
OM-RGC.v2.016469939	110MX	0.919615429	OG		Function unknown
OM-RGC.v2.040034003	0ZMGR	0.918968203	OG		Function unknown
OM-RGC.v2.037507609	0ZS9X	0.918758296	OG		Function unknown
OM-RGC.v2.001798934	11P7C	0.918532658	OG		Function unknown
OM-RGC.v2.000212547	0Y9PN	0.918444564	OG		Function unknown
OM-RGC.v2.034788197	0ZZSE	0.918429072	OG		Function unknown
OM-RGC.v2.005001476	11XXA	0.918384894	OG		Function unknown
OM-RGC.v2.027378480	11HG0	0.917671237	OG		Function unknown
OM-RGC.v2.012855066	11RQM	0.917633176	OG		Function unknown
OM-RGC.v2.005767151	10ZK8	0.917505749	OG		Function unknown
OM-RGC.v2.000538313	0YB4E	0.917318812	OG	NurA domain	Function unknown
OM-RGC.v2.024743375	111EB	0.917292064	OG		Function unknown
OM-RGC.v2.033104120	11X9N	0.917071722	OG		Function unknown
OM-RGC.v2.016805819	0YRBS	0.917065754	OG		Function unknown
OM-RGC.v2.038533295	0XZXQ	0.91703374	OG	"WxcM-like, C-terminal"	Function unknown
OM-RGC.v2.003929380	0ZPVQ	0.916872321	OG		Function unknown
OM-RGC.v2.029409122	10XSW	0.916869333	OG	Pregnancy-associated plasma protein-A	Function unknown
OM-RGC.v2.042771033	1109Z	0.91638026	OG		Function unknown
OM-RGC.v2.003293859	0YANH	0.916023076	OG	s-layer protein	Function unknown
OM-RGC.v2.031106486	10ZJX	0.915999461	OG		Function unknown
OM-RGC.v2.000718060	0YZ9I	0.91593196	OG		Function unknown
OM-RGC.v2.027128866	11MT2	0.915774802	OG		Function unknown
OM-RGC.v2.007345769	12AKB	0.9155872	OG		Function unknown
OM-RGC.v2.000834236	127K1	0.915334709	OG		Function unknown
OM-RGC.v2.001876212	0YIYT	0.91514725	OG		Function unknown
OM-RGC.v2.003623457	0Y6UC	0.915130308	OG	Protein of unknown function (DUF3180)	Function unknown
OM-RGC.v2.007879684	11ZFF	0.914925399	OG		Function unknown
OM-RGC.v2.035750940	0YDJX	0.914806293	OG	ATP GTP binding protein	Function unknown
OM-RGC.v2.033427224	0YB6G	0.91469928	OG		Function unknown
OM-RGC.v2.030930599	0ZIN9	0.91461248	OG		Function unknown
