Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.041129460	OM-RGC.v2.033603834	0.899197014	GC		
OM-RGC.v2.014950230	OM-RGC.v2.015710917	0.899190639	GC		
OM-RGC.v2.029856001	OM-RGC.v2.040901159	0.899187861	GC		
OM-RGC.v2.040901159	OM-RGC.v2.029856001	0.899187861	GC		
OM-RGC.v2.018763864	OM-RGC.v2.008539729	0.899186744	GC		
OM-RGC.v2.024012868	OM-RGC.v2.010469986	0.899185395	GC		
OM-RGC.v2.010469986	OM-RGC.v2.024012868	0.899185395	GC		
OM-RGC.v2.000241922	OM-RGC.v2.004553535	0.899175727	GC		
OM-RGC.v2.000007599	OM-RGC.v2.000091899	0.899171201	GC		
OM-RGC.v2.000091899	OM-RGC.v2.000007599	0.899171201	GC		
OM-RGC.v2.008928551	OM-RGC.v2.014459511	0.899171025	GC		
OM-RGC.v2.012771454	OM-RGC.v2.006322002	0.899164564	GC		
OM-RGC.v2.013484355	OM-RGC.v2.004418110	0.899146516	GC		
OM-RGC.v2.035206760	OM-RGC.v2.013302088	0.899135144	GC		
OM-RGC.v2.001572610	OM-RGC.v2.001717075	0.899123911	GC		
OM-RGC.v2.035519653	OM-RGC.v2.004846062	0.899115266	GC		
OM-RGC.v2.011031584	OM-RGC.v2.004122127	0.89911042	GC		
OM-RGC.v2.012089838	OM-RGC.v2.000461655	0.899106125	GC		
OM-RGC.v2.001140943	OM-RGC.v2.011018469	0.899100221	GC		
OM-RGC.v2.005907454	OM-RGC.v2.003556167	0.899090044	GC		
OM-RGC.v2.039289678	OM-RGC.v2.000726359	0.899084854	GC		
OM-RGC.v2.035687091	OM-RGC.v2.018911347	0.899072949	GC		
OM-RGC.v2.017876649	OM-RGC.v2.003970357	0.899066632	GC		
OM-RGC.v2.000259421	OM-RGC.v2.007935311	0.899056503	GC		
OM-RGC.v2.002619880	OM-RGC.v2.000712589	0.899052865	GC		
OM-RGC.v2.000182531	OM-RGC.v2.002145782	0.899052356	GC		
OM-RGC.v2.033448006	OM-RGC.v2.009235855	0.899046812	GC		
OM-RGC.v2.029949603	OM-RGC.v2.023707171	0.899043248	GC		
OM-RGC.v2.023707171	OM-RGC.v2.029949603	0.899043248	GC		
OM-RGC.v2.004385545	OM-RGC.v2.016982999	0.899042749	GC		
OM-RGC.v2.016982999	OM-RGC.v2.004385545	0.899042749	GC		
OM-RGC.v2.001317655	OM-RGC.v2.017224294	0.89903743	GC		
OM-RGC.v2.024537388	OM-RGC.v2.041989072	0.89902701	GC		
OM-RGC.v2.006388354	OM-RGC.v2.006393228	0.899001726	GC		
OM-RGC.v2.013678130	OM-RGC.v2.021503513	0.898995566	GC		
OM-RGC.v2.021503513	OM-RGC.v2.013678130	0.898995566	GC		
OM-RGC.v2.004757018	OM-RGC.v2.002089331	0.898985614	GC		
OM-RGC.v2.011000867	OM-RGC.v2.017350589	0.898964846	GC		
OM-RGC.v2.017350589	OM-RGC.v2.011000867	0.898964846	GC		
OM-RGC.v2.017670690	OM-RGC.v2.038854678	0.898963269	GC		
OM-RGC.v2.032877360	OM-RGC.v2.012418965	0.898960116	GC		
OM-RGC.v2.020061912	OM-RGC.v2.000821696	0.898955552	GC		
OM-RGC.v2.019475569	OM-RGC.v2.000022720	0.898953327	GC		
OM-RGC.v2.004999382	OM-RGC.v2.032741540	0.898951774	GC		
OM-RGC.v2.035839229	OM-RGC.v2.000477101	0.898945685	GC		
OM-RGC.v2.019191549	OM-RGC.v2.001037237	0.898919405	GC		
OM-RGC.v2.001037237	OM-RGC.v2.019191549	0.898919405	GC		
OM-RGC.v2.014866631	OM-RGC.v2.022417815	0.8989178	GC		
OM-RGC.v2.007292785	OM-RGC.v2.002893149	0.898907448	GC		
OM-RGC.v2.041730395	OM-RGC.v2.041873663	0.898907093	GC		
OM-RGC.v2.032661946	OM-RGC.v2.036015786	0.898903271	GC		
OM-RGC.v2.036015786	OM-RGC.v2.032661946	0.898903271	GC		
OM-RGC.v2.008385560	OM-RGC.v2.001378130	0.898901184	GC		
OM-RGC.v2.001433129	OM-RGC.v2.000378842	0.898897505	GC		
OM-RGC.v2.031481810	OM-RGC.v2.029127452	0.898874864	GC		
OM-RGC.v2.029127452	OM-RGC.v2.031481810	0.898874864	GC		
OM-RGC.v2.023241002	OM-RGC.v2.035058782	0.898865076	GC		
OM-RGC.v2.035058782	OM-RGC.v2.023241002	0.898865076	GC		
OM-RGC.v2.000182338	OM-RGC.v2.032816199	0.898863203	GC		
OM-RGC.v2.015670980	OM-RGC.v2.001008003	0.898856313	GC		
OM-RGC.v2.001008003	OM-RGC.v2.015670980	0.898856313	GC		
OM-RGC.v2.000190881	OM-RGC.v2.003551637	0.898853981	GC		
OM-RGC.v2.003551637	OM-RGC.v2.000190881	0.898853981	GC		
OM-RGC.v2.031188191	OM-RGC.v2.027002360	0.898851319	GC		
OM-RGC.v2.041166026	OM-RGC.v2.009886704	0.898851197	GC		
OM-RGC.v2.004113403	OM-RGC.v2.016673130	0.898840086	GC		
OM-RGC.v2.028077420	OM-RGC.v2.039236135	0.898834116	GC		
OM-RGC.v2.039236135	OM-RGC.v2.028077420	0.898834116	GC		
OM-RGC.v2.003133377	OM-RGC.v2.027403358	0.898833767	GC		
OM-RGC.v2.036598639	OM-RGC.v2.032030435	0.89881375	GC		
OM-RGC.v2.041971016	OM-RGC.v2.016777705	0.898812041	GC		
OM-RGC.v2.009145867	OM-RGC.v2.004004730	0.898801443	GC		
OM-RGC.v2.001610074	OM-RGC.v2.001900512	0.898799061	GC		
OM-RGC.v2.028928814	OM-RGC.v2.002368531	0.8987937	GC		
OM-RGC.v2.035028399	OM-RGC.v2.026344046	0.89879335	GC		
OM-RGC.v2.006329799	OM-RGC.v2.003826449	0.898788235	GC		
OM-RGC.v2.038690021	OM-RGC.v2.032957546	0.89877893	GC		
OM-RGC.v2.017677363	OM-RGC.v2.040822533	0.898776292	GC		
OM-RGC.v2.002910795	OM-RGC.v2.003461679	0.898752677	GC		
OM-RGC.v2.003461679	OM-RGC.v2.002910795	0.898752677	GC		
OM-RGC.v2.036601048	OM-RGC.v2.035180636	0.898742738	GC		
OM-RGC.v2.025082516	OM-RGC.v2.002238293	0.898741341	GC		
OM-RGC.v2.036791076	OM-RGC.v2.009944402	0.898730467	GC		
OM-RGC.v2.033969058	OM-RGC.v2.000153993	0.898723211	GC		
OM-RGC.v2.015535234	OM-RGC.v2.039352009	0.898719013	GC		
OM-RGC.v2.025272956	OM-RGC.v2.040573901	0.898697423	GC		
OM-RGC.v2.040281644	OM-RGC.v2.038904806	0.898693223	GC		
OM-RGC.v2.036907488	OM-RGC.v2.038675271	0.898692395	GC		
OM-RGC.v2.011091980	OM-RGC.v2.017981055	0.898685635	GC		
OM-RGC.v2.013695302	OM-RGC.v2.000473898	0.898685163	GC		
OM-RGC.v2.005927419	OM-RGC.v2.027675550	0.898667305	GC		
OM-RGC.v2.039303820	OM-RGC.v2.039466682	0.898657822	GC		
OM-RGC.v2.001360115	OM-RGC.v2.036650319	0.898656603	GC		
OM-RGC.v2.035908478	OM-RGC.v2.034828134	0.898630658	GC		
OM-RGC.v2.034828134	OM-RGC.v2.035908478	0.898630658	GC		
OM-RGC.v2.034794436	OM-RGC.v2.040836721	0.898609834	GC		
OM-RGC.v2.011858332	OM-RGC.v2.012000857	0.898606578	GC		
OM-RGC.v2.005637401	OM-RGC.v2.042507646	0.898603778	GC		
OM-RGC.v2.015810004	OM-RGC.v2.007450939	0.898577116	GC		
OM-RGC.v2.032659080	OM-RGC.v2.033653539	0.898576985	GC		
OM-RGC.v2.033653539	OM-RGC.v2.032659080	0.898576985	GC		
OM-RGC.v2.035498025	OM-RGC.v2.030163639	0.898566623	GC		
OM-RGC.v2.025030916	OM-RGC.v2.026330530	0.898557981	GC		
OM-RGC.v2.000564530	OM-RGC.v2.003723562	0.89855029	GC		
OM-RGC.v2.025552390	OM-RGC.v2.038697526	0.898544124	GC		
OM-RGC.v2.005073119	OM-RGC.v2.000105328	0.898536942	GC		
OM-RGC.v2.004585082	OM-RGC.v2.009986215	0.898530238	GC		
OM-RGC.v2.008769665	OM-RGC.v2.006687815	0.898524436	GC		
OM-RGC.v2.001110986	OM-RGC.v2.001872270	0.898521366	GC		
OM-RGC.v2.013124550	OM-RGC.v2.036026530	0.898519569	GC		
OM-RGC.v2.036026530	OM-RGC.v2.013124550	0.898519569	GC		
OM-RGC.v2.000070704	OM-RGC.v2.004080152	0.898519515	GC		
OM-RGC.v2.008812905	OM-RGC.v2.002036351	0.898512832	GC		
OM-RGC.v2.038070660	OM-RGC.v2.041889888	0.898507277	GC		
OM-RGC.v2.040778075	OM-RGC.v2.029422348	0.898506166	GC		
OM-RGC.v2.005380730	OM-RGC.v2.005533386	0.898501599	GC		
OM-RGC.v2.001195945	OM-RGC.v2.001735670	0.898496862	GC		
OM-RGC.v2.037875706	OM-RGC.v2.033104120	0.898479951	GC		
OM-RGC.v2.006075736	OM-RGC.v2.008930031	0.898478209	GC		
OM-RGC.v2.000435152	OM-RGC.v2.002479408	0.89847789	GC		
OM-RGC.v2.002964532	OM-RGC.v2.002089331	0.898476228	GC		
OM-RGC.v2.001339807	OM-RGC.v2.000924944	0.898475906	GC		
OM-RGC.v2.041699883	OM-RGC.v2.015440270	0.898470752	GC		
OM-RGC.v2.015440270	OM-RGC.v2.041699883	0.898470752	GC		
OM-RGC.v2.041720612	OM-RGC.v2.031371054	0.898470586	GC		
OM-RGC.v2.031371054	OM-RGC.v2.041720612	0.898470586	GC		
OM-RGC.v2.039195876	OM-RGC.v2.042326287	0.898470559	GC		
OM-RGC.v2.006723755	OM-RGC.v2.015275100	0.898463135	GC		
OM-RGC.v2.029637744	OM-RGC.v2.000109660	0.898461069	GC		
OM-RGC.v2.003039198	OM-RGC.v2.040703509	0.898439769	GC		
OM-RGC.v2.017487168	OM-RGC.v2.002178484	0.898439518	GC		
OM-RGC.v2.004480414	OM-RGC.v2.030905277	0.898433707	GC		
OM-RGC.v2.019685621	OM-RGC.v2.001247056	0.898423401	GC		
OM-RGC.v2.001247056	OM-RGC.v2.019685621	0.898423401	GC		
OM-RGC.v2.011742988	OM-RGC.v2.000663263	0.898422697	GC		
OM-RGC.v2.000663263	OM-RGC.v2.011742988	0.898422697	GC		
OM-RGC.v2.011467883	OM-RGC.v2.006994415	0.898422539	GC		
OM-RGC.v2.005984167	OM-RGC.v2.001896795	0.898416275	GC		
OM-RGC.v2.021625434	OM-RGC.v2.040574655	0.898405906	GC		
OM-RGC.v2.040574655	OM-RGC.v2.021625434	0.898405906	GC		
OM-RGC.v2.017806475	OM-RGC.v2.016917796	0.898402952	GC		
OM-RGC.v2.036373481	OM-RGC.v2.025546545	0.898378722	GC		
OM-RGC.v2.015497722	OM-RGC.v2.041930611	0.898374039	GC		
OM-RGC.v2.041930611	OM-RGC.v2.015497722	0.898374039	GC		
OM-RGC.v2.003470847	OM-RGC.v2.000075116	0.898368103	GC		
OM-RGC.v2.005730235	OM-RGC.v2.004679018	0.898364296	GC		
OM-RGC.v2.006633395	OM-RGC.v2.001339976	0.898363234	GC		
OM-RGC.v2.033626390	OM-RGC.v2.007585433	0.898361224	GC		
OM-RGC.v2.007585433	OM-RGC.v2.033626390	0.898361224	GC		
OM-RGC.v2.001837375	OM-RGC.v2.014193179	0.89835157	GC		
OM-RGC.v2.014193179	OM-RGC.v2.001837375	0.89835157	GC		
OM-RGC.v2.030974659	OM-RGC.v2.019587049	0.898343348	GC		
OM-RGC.v2.019587049	OM-RGC.v2.030974659	0.898343348	GC		
OM-RGC.v2.008261443	OM-RGC.v2.002089331	0.898338542	GC		
OM-RGC.v2.023831942	OM-RGC.v2.024613576	0.898336555	GC		
OM-RGC.v2.024613576	OM-RGC.v2.023831942	0.898336555	GC		
OM-RGC.v2.022734744	OM-RGC.v2.017881361	0.898322765	GC		
OM-RGC.v2.002198207	OM-RGC.v2.000667701	0.898304284	GC		
OM-RGC.v2.026980826	OM-RGC.v2.024232846	0.898304248	GC		
OM-RGC.v2.003271111	OM-RGC.v2.010130657	0.898291187	GC		
OM-RGC.v2.010275707	OM-RGC.v2.000900154	0.898287338	GC		
OM-RGC.v2.033328679	OM-RGC.v2.004216317	0.898284638	GC		
OM-RGC.v2.035520241	OM-RGC.v2.006123128	0.898280207	GC		
OM-RGC.v2.028410834	OM-RGC.v2.002436333	0.898270081	GC		
OM-RGC.v2.008054295	OM-RGC.v2.043374634	0.898270009	GC		
OM-RGC.v2.033842956	OM-RGC.v2.001062360	0.898269369	GC		
OM-RGC.v2.008973215	OM-RGC.v2.038889923	0.898245832	GC		
OM-RGC.v2.009871740	OM-RGC.v2.001756534	0.89823813	GC		
OM-RGC.v2.043892550	OM-RGC.v2.032225097	0.898234529	GC		
OM-RGC.v2.000772864	OM-RGC.v2.001735670	0.898229642	GC		
OM-RGC.v2.036543600	OM-RGC.v2.020472876	0.898225933	GC		
OM-RGC.v2.013321496	OM-RGC.v2.006738686	0.898221508	GC		
OM-RGC.v2.005288183	OM-RGC.v2.007345769	0.898220096	GC		
OM-RGC.v2.013517067	OM-RGC.v2.001780114	0.898206726	GC		
OM-RGC.v2.033332819	OM-RGC.v2.029456538	0.89820338	GC		
OM-RGC.v2.029456538	OM-RGC.v2.033332819	0.89820338	GC		
OM-RGC.v2.003037068	OM-RGC.v2.003633520	0.898175647	GC		
OM-RGC.v2.015609258	OM-RGC.v2.003556167	0.898170773	GC		
OM-RGC.v2.017066779	OM-RGC.v2.040907627	0.898166258	GC		
OM-RGC.v2.000012067	OM-RGC.v2.000006942	0.898153525	GC		
OM-RGC.v2.016203875	OM-RGC.v2.013711255	0.898149037	GC		
OM-RGC.v2.008919581	OM-RGC.v2.009343698	0.898142024	GC		
OM-RGC.v2.013056995	OM-RGC.v2.001241447	0.898133206	GC		
OM-RGC.v2.018429609	OM-RGC.v2.023195703	0.898117121	GC		
OM-RGC.v2.023195703	OM-RGC.v2.018429609	0.898117121	GC		
OM-RGC.v2.006295079	OM-RGC.v2.013006925	0.898115858	GC		
OM-RGC.v2.010592777	OM-RGC.v2.001188291	0.898113744	GC		
OM-RGC.v2.036733830	OM-RGC.v2.042452535	0.898110294	GC		
OM-RGC.v2.000984933	OM-RGC.v2.003064042	0.898107111	GC		
OM-RGC.v2.003064042	OM-RGC.v2.000984933	0.898107111	GC		
OM-RGC.v2.013218453	OM-RGC.v2.018006657	0.89810641	GC		
OM-RGC.v2.018006657	OM-RGC.v2.013218453	0.89810641	GC		
OM-RGC.v2.003140480	OM-RGC.v2.011380534	0.898098892	GC		
OM-RGC.v2.027129584	OM-RGC.v2.000860207	0.898094376	GC		
OM-RGC.v2.000860207	OM-RGC.v2.027129584	0.898094376	GC		
OM-RGC.v2.005520505	OM-RGC.v2.025265991	0.898082906	GC		
OM-RGC.v2.025265991	OM-RGC.v2.005520505	0.898082906	GC		
OM-RGC.v2.003192016	OM-RGC.v2.001600808	0.898082328	GC		
OM-RGC.v2.042236473	OM-RGC.v2.035376839	0.898078546	GC		
OM-RGC.v2.035376839	OM-RGC.v2.042236473	0.898078546	GC		
OM-RGC.v2.000939548	OM-RGC.v2.000030145	0.898072007	GC		
OM-RGC.v2.000087654	OM-RGC.v2.001617841	0.898070549	GC		
OM-RGC.v2.033256155	OM-RGC.v2.000172636	0.898067782	GC		
OM-RGC.v2.002093676	OM-RGC.v2.000130513	0.898065868	GC		
OM-RGC.v2.002710124	OM-RGC.v2.013630231	0.898064747	GC		
OM-RGC.v2.013630231	OM-RGC.v2.002710124	0.898064747	GC		
OM-RGC.v2.012559423	OM-RGC.v2.002788628	0.898051049	GC		
OM-RGC.v2.003040305	OM-RGC.v2.029422348	0.898043455	GC		
OM-RGC.v2.019017298	OM-RGC.v2.008973215	0.898007259	GC		
OM-RGC.v2.000283662	OM-RGC.v2.000260800	0.897995732	GC		
OM-RGC.v2.006958897	OM-RGC.v2.032857490	0.897994114	GC		
OM-RGC.v2.005987488	OM-RGC.v2.001332359	0.89797431	GC		
OM-RGC.v2.039663633	OM-RGC.v2.001534195	0.897965729	GC		
OM-RGC.v2.034148767	OM-RGC.v2.000384010	0.897960928	GC		
OM-RGC.v2.002055016	OM-RGC.v2.003192016	0.897959029	GC		
OM-RGC.v2.001060000	OM-RGC.v2.005977101	0.897955171	GC		
OM-RGC.v2.005977101	OM-RGC.v2.001060000	0.897955171	GC		
OM-RGC.v2.000769955	OM-RGC.v2.016947081	0.897949926	GC		
OM-RGC.v2.016947081	OM-RGC.v2.000769955	0.897949926	GC		
OM-RGC.v2.009947647	OM-RGC.v2.005324436	0.897946956	GC		
OM-RGC.v2.027960971	OM-RGC.v2.042317599	0.897931037	GC		
OM-RGC.v2.025049680	OM-RGC.v2.002329276	0.897904889	GC		
OM-RGC.v2.003445747	OM-RGC.v2.017389326	0.897899462	GC		
OM-RGC.v2.038249780	OM-RGC.v2.000199262	0.89789889	GC		
OM-RGC.v2.013348290	OM-RGC.v2.005322391	0.89789366	GC		
OM-RGC.v2.003903840	OM-RGC.v2.000105328	0.897886527	GC		
OM-RGC.v2.018768852	OM-RGC.v2.023528734	0.897881456	GC		
OM-RGC.v2.002302310	OM-RGC.v2.000042866	0.897881029	GC		
OM-RGC.v2.000042866	OM-RGC.v2.002302310	0.897881029	GC		
OM-RGC.v2.002406642	OM-RGC.v2.000027583	0.897876533	GC		
OM-RGC.v2.007981304	OM-RGC.v2.004596215	0.897870573	GC		
OM-RGC.v2.040985914	OM-RGC.v2.000385572	0.89786022	GC		
OM-RGC.v2.028490462	OM-RGC.v2.033580225	0.897859452	GC		
OM-RGC.v2.039685982	OM-RGC.v2.039389842	0.897852423	GC		
OM-RGC.v2.038687732	OM-RGC.v2.018982600	0.897851038	GC		
OM-RGC.v2.018982600	OM-RGC.v2.038687732	0.897851038	GC		
OM-RGC.v2.007175813	OM-RGC.v2.003633520	0.897849898	GC		
OM-RGC.v2.000004799	OM-RGC.v2.000165755	0.897846007	GC		
OM-RGC.v2.000165755	OM-RGC.v2.000004799	0.897846007	GC		
OM-RGC.v2.002964370	OM-RGC.v2.000384717	0.897840467	GC		
OM-RGC.v2.000384717	OM-RGC.v2.002964370	0.897840467	GC		
OM-RGC.v2.012981830	OM-RGC.v2.004553535	0.897838812	GC		
OM-RGC.v2.024145837	OM-RGC.v2.001319814	0.897833853	GC		
OM-RGC.v2.006080408	OM-RGC.v2.007068988	0.89781917	GC		
OM-RGC.v2.000168185	OM-RGC.v2.003199877	0.897814795	GC		
OM-RGC.v2.003199877	OM-RGC.v2.000168185	0.897814795	GC		
OM-RGC.v2.031534303	OM-RGC.v2.031295416	0.897804196	GC		
OM-RGC.v2.031171111	OM-RGC.v2.029002559	0.897787894	GC		
OM-RGC.v2.036493617	OM-RGC.v2.000854037	0.89777665	GC		
OM-RGC.v2.040463679	OM-RGC.v2.041329540	0.89777383	GC		
OM-RGC.v2.041329540	OM-RGC.v2.040463679	0.89777383	GC		
OM-RGC.v2.000623068	OM-RGC.v2.000019333	0.897768383	GC		
OM-RGC.v2.027757159	OM-RGC.v2.035157784	0.897753467	GC		
OM-RGC.v2.037156860	OM-RGC.v2.003409080	0.897752885	GC		
OM-RGC.v2.000371250	OM-RGC.v2.001344962	0.897745186	GC		
OM-RGC.v2.001344962	OM-RGC.v2.000371250	0.897745186	GC		
OM-RGC.v2.029918440	OM-RGC.v2.023305066	0.89774136	GC		
OM-RGC.v2.005628406	OM-RGC.v2.005419570	0.897741013	GC		
OM-RGC.v2.005419570	OM-RGC.v2.005628406	0.897741013	GC		
OM-RGC.v2.000542967	OM-RGC.v2.000321904	0.897738234	GC		
OM-RGC.v2.025959644	OM-RGC.v2.003630975	0.897737295	GC		
OM-RGC.v2.022871135	OM-RGC.v2.000207468	0.897734825	GC		
OM-RGC.v2.000207468	OM-RGC.v2.022871135	0.897734825	GC		
OM-RGC.v2.000157671	OM-RGC.v2.035684562	0.897721409	GC		
OM-RGC.v2.035684562	OM-RGC.v2.000157671	0.897721409	GC		
OM-RGC.v2.035763130	OM-RGC.v2.031799446	0.89771771	GC		
OM-RGC.v2.031799446	OM-RGC.v2.035763130	0.89771771	GC		
OM-RGC.v2.011124549	OM-RGC.v2.002124961	0.89771737	GC		
OM-RGC.v2.020927721	OM-RGC.v2.036985961	0.897708119	GC		
OM-RGC.v2.002979881	OM-RGC.v2.001972506	0.897707808	GC		
OM-RGC.v2.002735581	OM-RGC.v2.007363031	0.897706891	GC		
OM-RGC.v2.035918815	OM-RGC.v2.000049415	0.89770484	GC		
OM-RGC.v2.026492071	OM-RGC.v2.000044911	0.897692399	GC		
OM-RGC.v2.009815581	OM-RGC.v2.024802323	0.897691101	GC		
OM-RGC.v2.000796635	OM-RGC.v2.000306711	0.897670281	GC		
OM-RGC.v2.000306711	OM-RGC.v2.000796635	0.897670281	GC		
OM-RGC.v2.010938464	OM-RGC.v2.035549419	0.897667929	GC		
OM-RGC.v2.007280643	OM-RGC.v2.011972295	0.897661351	GC		
OM-RGC.v2.011972295	OM-RGC.v2.007280643	0.897661351	GC		
OM-RGC.v2.005730767	OM-RGC.v2.026728775	0.897656002	GC		
OM-RGC.v2.000666003	OM-RGC.v2.000481071	0.897651974	GC		
OM-RGC.v2.001710004	OM-RGC.v2.001330749	0.897641354	GC		
OM-RGC.v2.008771801	OM-RGC.v2.000220573	0.897638849	GC		
OM-RGC.v2.014402184	OM-RGC.v2.001031243	0.897638186	GC		
OM-RGC.v2.019973693	OM-RGC.v2.017716714	0.897635648	GC		
OM-RGC.v2.017716714	OM-RGC.v2.019973693	0.897635648	GC		
OM-RGC.v2.025478841	OM-RGC.v2.029008753	0.897634086	GC		
OM-RGC.v2.029008753	OM-RGC.v2.025478841	0.897634086	GC		
OM-RGC.v2.000970248	OM-RGC.v2.003144007	0.897626605	GC		
OM-RGC.v2.003144007	OM-RGC.v2.000970248	0.897626605	GC		
OM-RGC.v2.003999300	OM-RGC.v2.001817507	0.897625246	GC		
OM-RGC.v2.018474328	OM-RGC.v2.000785201	0.897613903	GC		
OM-RGC.v2.000785201	OM-RGC.v2.018474328	0.897613903	GC		
OM-RGC.v2.007260550	OM-RGC.v2.001350913	0.897613197	GC		
OM-RGC.v2.001221347	OM-RGC.v2.000008440	0.897609347	GC		
OM-RGC.v2.000008440	OM-RGC.v2.001221347	0.897609347	GC		
OM-RGC.v2.036051870	OM-RGC.v2.009541969	0.897607696	GC		
OM-RGC.v2.000115200	OM-RGC.v2.033571239	0.897601869	GC		
OM-RGC.v2.007789082	OM-RGC.v2.023188936	0.897600934	GC		
OM-RGC.v2.019873999	OM-RGC.v2.019160372	0.897598431	GC		
OM-RGC.v2.027479331	OM-RGC.v2.002413636	0.897574195	GC		
OM-RGC.v2.013707012	OM-RGC.v2.006324760	0.897569849	GC		
OM-RGC.v2.006324760	OM-RGC.v2.013707012	0.897569849	GC		
OM-RGC.v2.004232821	OM-RGC.v2.002479258	0.89756731	GC		
OM-RGC.v2.013446288	OM-RGC.v2.004607015	0.897563987	GC		
OM-RGC.v2.001017925	OM-RGC.v2.004874390	0.897562856	GC		
OM-RGC.v2.004874390	OM-RGC.v2.001017925	0.897562856	GC		
OM-RGC.v2.041673019	OM-RGC.v2.012331139	0.897555442	GC		
OM-RGC.v2.038744223	OM-RGC.v2.025266646	0.897540194	GC		
OM-RGC.v2.000781950	OM-RGC.v2.017056339	0.89753791	GC		
OM-RGC.v2.017056339	OM-RGC.v2.000781950	0.89753791	GC		
OM-RGC.v2.003920565	OM-RGC.v2.017724084	0.897536208	GC		
OM-RGC.v2.017724084	OM-RGC.v2.003920565	0.897536208	GC		
OM-RGC.v2.027143466	OM-RGC.v2.011659494	0.897523498	GC		
OM-RGC.v2.016343748	OM-RGC.v2.003927257	0.897520932	GC		
OM-RGC.v2.000941492	OM-RGC.v2.002459817	0.897502781	GC		
OM-RGC.v2.041594718	OM-RGC.v2.041912924	0.897500439	GC		
OM-RGC.v2.041912924	OM-RGC.v2.041594718	0.897500439	GC		
OM-RGC.v2.000199659	OM-RGC.v2.005163683	0.89749792	GC		
OM-RGC.v2.032008936	OM-RGC.v2.002781363	0.897484373	GC		
OM-RGC.v2.008335038	OM-RGC.v2.015710917	0.897483783	GC		
OM-RGC.v2.009446801	OM-RGC.v2.004323140	0.897476202	GC		
OM-RGC.v2.005306178	OM-RGC.v2.026629245	0.897473818	GC		
OM-RGC.v2.001489002	OM-RGC.v2.000971103	0.897473355	GC		
OM-RGC.v2.005580079	OM-RGC.v2.040129572	0.897470911	GC		
OM-RGC.v2.040552704	OM-RGC.v2.032244133	0.897464973	GC		
OM-RGC.v2.011362603	OM-RGC.v2.003178147	0.897462903	GC		
OM-RGC.v2.012104891	OM-RGC.v2.011610938	0.897462203	GC		
OM-RGC.v2.043055318	OM-RGC.v2.040894602	0.897462168	GC		
OM-RGC.v2.017817275	OM-RGC.v2.027611483	0.897457667	GC		
OM-RGC.v2.001333803	OM-RGC.v2.024623351	0.89744356	GC		
OM-RGC.v2.024623351	OM-RGC.v2.001333803	0.89744356	GC		
OM-RGC.v2.036743030	OM-RGC.v2.015827590	0.897435787	GC		
OM-RGC.v2.032947915	OM-RGC.v2.006828552	0.897435709	GC		
OM-RGC.v2.004691748	OM-RGC.v2.028950242	0.897435639	GC		
OM-RGC.v2.043169312	OM-RGC.v2.040203165	0.897433451	GC		
OM-RGC.v2.022623008	OM-RGC.v2.036490768	0.897432591	GC		
OM-RGC.v2.008221004	OM-RGC.v2.012974684	0.897428368	GC		
OM-RGC.v2.039071208	OM-RGC.v2.036004607	0.897427407	GC		
OM-RGC.v2.003592323	OM-RGC.v2.006265715	0.897420333	GC		
OM-RGC.v2.000700570	OM-RGC.v2.000651744	0.897416695	GC		
OM-RGC.v2.000651744	OM-RGC.v2.000700570	0.897416695	GC		
OM-RGC.v2.000482830	OM-RGC.v2.028891505	0.897415003	GC		
OM-RGC.v2.028891505	OM-RGC.v2.000482830	0.897415003	GC		
OM-RGC.v2.004090295	OM-RGC.v2.001091539	0.897410681	GC		
OM-RGC.v2.033529067	OM-RGC.v2.032594180	0.897395916	GC		
OM-RGC.v2.001386416	OM-RGC.v2.017723909	0.89738743	GC		
OM-RGC.v2.012951907	OM-RGC.v2.011400186	0.897378659	GC		
OM-RGC.v2.000380254	OM-RGC.v2.037460708	0.897367726	GC		
OM-RGC.v2.037460708	OM-RGC.v2.000380254	0.897367726	GC		
OM-RGC.v2.017822007	OM-RGC.v2.036747697	0.897367158	GC		
OM-RGC.v2.036747697	OM-RGC.v2.017822007	0.897367158	GC		
OM-RGC.v2.001515237	OM-RGC.v2.002891291	0.897364233	GC		
OM-RGC.v2.000859068	OM-RGC.v2.000368431	0.897336817	GC		
OM-RGC.v2.041597914	OM-RGC.v2.001324807	0.8973333	GC		
OM-RGC.v2.014601495	OM-RGC.v2.008990048	0.897326718	GC		
OM-RGC.v2.001613920	OM-RGC.v2.036655766	0.89732014	GC		
OM-RGC.v2.001116677	OM-RGC.v2.019336189	0.897319486	GC		
OM-RGC.v2.019336189	OM-RGC.v2.001116677	0.897319486	GC		
OM-RGC.v2.003527170	OM-RGC.v2.008066155	0.897318859	GC		
OM-RGC.v2.022215140	OM-RGC.v2.018769303	0.897306041	GC		
OM-RGC.v2.000707532	OM-RGC.v2.002152236	0.897305859	GC		
OM-RGC.v2.020979867	OM-RGC.v2.039467977	0.897304202	GC		
OM-RGC.v2.038386705	OM-RGC.v2.015166950	0.897303641	GC		
OM-RGC.v2.015166950	OM-RGC.v2.038386705	0.897303641	GC		
OM-RGC.v2.035500833	OM-RGC.v2.014508790	0.897284685	GC		
OM-RGC.v2.001237042	OM-RGC.v2.002126389	0.897281878	GC		
