sample	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_040_MES_0.22-1.6_T	117709604	61876632.0003046	0.525671906944013	18208583943	8022418937.24332	0.440584449749449	631.414925731725
TARA_040_SRF_0.22-1.6_T	124482652	62813906.00062	0.504599677074843	20242739639	8551287925.6179	0.422437282606888	631.414925731725
TARA_040_ZZZ_0.22-1.6_T	558154375	303200388.001881	0.543219585086797	93661247071	40491527135.1171	0.432318898171647	631.414925731725
TARA_041_DCM_0.22-1.6_T	188728844	130076399.996087	0.689223741528811	31949576625	18430171937.6282	0.576851836064925	631.414925731725
TARA_041_SRF_0.22-1.6_T	196814518	135254964.995206	0.687220467116182	34158383351	18820109245.7342	0.550966041113397	631.414925731725
TARA_042_DCM_0.22-1.6_T	153841210	102044056.998675	0.663307685883871	25788833894	13205707346.9979	0.512070743534873	631.414925731725
TARA_042_SRF_0.22-1.6_T	126738283	72826940.0002333	0.574624638083769	21587575109	9680373234.99298	0.448423372524002	631.414925731725
TARA_043_SRF_0.22-1.6_T	127523651	71761646.0002589	0.562732053525184	22184852577	9514238487.88369	0.428861920757027	631.414925731725
TARA_044_SRF_0.22-1.6_T	171922121	98485606.9984759	0.572850116236502	29262009610	12404979111.1329	0.423927791579073	631.414925731725
TARA_046_SRF_0.22-1.6_T	138982947	78338619.9998297	0.563656345550291	23928195761	10472569598.1399	0.437666496159684	631.414925731725
TARA_047_SRF_0.22-1.6_T	176367092	116649225.994977	0.661400177732573	29602515677	15657486235.0119	0.528924176777892	631.414925731725
TARA_049_SRF_0.22-1.6_T	135805415	63023066.001384	0.46406887384707	21260820837	7352689718.15461	0.345832824354495	631.414925731725
TARA_050_SRF_0.22-1.6_T	147005151	84603733.9993478	0.575515438906952	25813204890	11478820390.8734	0.444687919992464	631.414925731725
TARA_051_SRF_0.22-1.6_T	127858968	72095618.000247	0.563868292760247	22295463677	9818736958.38049	0.440391691360494	631.414925731725
TARA_052_DCM_0.22-1.6_T	199897839	110671768.995853	0.553641647901222	32675040984	14280826057.7441	0.437056102385212	631.414925731725
TARA_052_SRF_0.22-1.6_T	157088546	61793530.0017029	0.393367508804257	25224670948	7716568819.65661	0.305913557229908	631.414925731725
TARA_053_SRF_0.22-1.6_T	101808966	56972624.0006033	0.559603208234167	17899899972	7578924952.9083	0.423405994713024	631.414925731725
TARA_054_SRF_0.22-1.6_T	131729125	61617946.0006328	0.467762508865316	22441307305	7803280407.98825	0.34771951125368	631.414925731725
TARA_067_SRF_0.22-3_T	80945720	33653415.9999258	0.415752877359369	13667130543	4825203621.5054	0.353051696281394	631.414925731725
TARA_068_DCM_0.22-3_T	126351688	81789620.9996133	0.647317200856179	21363001096	11768779536.7392	0.550895423534045	631.414925731725
TARA_068_SRF_0.22-3_T	102288130	56141919.0005167	0.548860547167269	16892036390	7809295374.24964	0.462306331454075	631.414925731725
TARA_070_MES_0.22-3_T	138658983	92063022.9991574	0.663952821572024	23500982998	13152276936.2704	0.559647949083222	631.414925731725
TARA_070_SRF_0.22-3_T	84935262	46928357.0001944	0.552519129218608	14844114145	6496918739.91914	0.43767642019295	631.414925731725
TARA_071_SRF_0.22-3_T	103699296	54682867.0006176	0.527321487318657	17566357153	7369431967.32981	0.419519647878231	631.414925731725
TARA_072_DCM_0.22-3_T	106551013	55476682.000446	0.520658419272335	17697519003	7540706500.90685	0.426088340384242	631.414925731725
TARA_072_SRF_0.22-3_T	52362989	26361028.9999158	0.503428652629356	9052382963	3637004149.53365	0.401773120337402	631.414925731725
TARA_076_DCM_0.22-3_T	104227618	52850161.000352	0.50706484533065	17456463712	7019444631.46788	0.402111489891423	631.414925731725
