B100002054	BEZ_AKLAOSW_4_C8P57ACXX.IND2
B100002054	BEZ_AKLAOSW_5_C8P57ACXX.IND2
B100002054	BEZ_AKLAOSW_6_C8P57ACXX.IND2
B100002054	BEZ_AKLAOSW_7_C8P57ACXX.IND2
B100002054	BEZ_AKLAOSW_8_C8P57ACXX.IND2
B100000116	BEZ_AEMAOSW_1_C8FY6ACXX.IND7
B100000261	BEZ_AEXAOSW_2_C8FY6ACXX.IND3
B100000178	BEZ_AFCAOSW_3_C8FY6ACXX.IND5
B100000353	BEZ_AFFAOSW_4_C8FY6ACXX.IND9
B100000355	BEZ_AFGAOSW_5_C8FY6ACXX.IND10
B100000493	BEZ_AFSAOSW_6_C8FY6ACXX.IND2
B100000457	BEZ_AGAAOSW_7_C8FY6ACXX.IND9
B100000444	BEZ_AGBAOSW_8_C8FY6ACXX.IND10
B100000436	BEZ_AGCAOSW_1_C8NATACXX.IND11
B100000420	BEZ_AGDAOSW_2_C8NATACXX.IND12
B100000422	BEZ_AGEAOSW_3_C8NATACXX.IND1
B100000515	BEZ_AGGAOSW_4_C8NATACXX.IND3
B100000747	BEZ_AGHAOSW_5_C8NATACXX.IND4
B100000832	BEZ_AGMAOSW_6_C8NATACXX.IND6
B100000765	BEZ_AGPAOSW_7_C8NATACXX.IND10
B100000811	BEZ_AGRAOSW_1_C8NA4ACXX.IND11
B100000813	BEZ_AGSAOSW_2_C8NA4ACXX.IND8
B100000562	BEZ_AGTAOSW_3_C8NA4ACXX.IND7
B100000801	BEZ_AHAAOSW_4_C8NA4ACXX.IND7
B100000865	BEZ_AHBAOSW_5_C8NA4ACXX.IND9
B100000872	BEZ_AHCAOSW_6_C8NA4ACXX.IND10
B100001064	BEZ_AHDAOSW_7_C8NA4ACXX.IND12
B100001061	BEZ_AHEAOSW_8_C8NA4ACXX.IND1
B100000916	BEZ_AHRAOSW_6_C8NA2ACXX.IND4
B100000918	BEZ_AHSAOSW_7_C8NA2ACXX.IND5
B100000920	BEZ_AHTAOSW_8_C8NA2ACXX.IND6
A100001401	BEZ_ADXAOSW_1_C8NELACXX.IND10
A100001195	BEZ_AECAOSW_2_C8NELACXX.IND1
B100000110	BEZ_AEIAOSW_3_C8NELACXX.IND6
B100000112	BEZ_AEKAOSW_4_C8NELACXX.IND6
B100000114	BEZ_AELAOSW_5_C8NELACXX.IND6
B100000118	BEZ_AENAOSW_7_C8JE3ACXX.IND8
B100000120	BEZ_AEPAOSW_6_C8NELACXX.IND9
B100000127	BEZ_AEQAOSW_7_C8NELACXX.IND10
B100000133	BEZ_AERAOSW_8_C8NELACXX.IND11
B100000143	BEZ_AESAOSW_1_C8NACACXX.IND12
B100000267	BEZ_AETAOSW_2_C8NACACXX.IND1
