Barcode	Station.label	Layer	polar	lower.size.fraction	upper.size.fraction	Event.date	Latitude	Longitude	Depth.nominal	Ocean.region	Temperature	Oxygen	ChlorophyllA	Carbon.total	Salinity	Gradient.Surface.temp(SST)	Fluorescence	CO3	HCO3	Density	PO4	PAR.PC	NO3	Si	Alkalinity.total	Ammonium.5m	Depth.Mixed.Layer	Lyapunov	NO2	Depth.Min.O2	NO2NO3	Nitracline	Brunt.VÌ_isÌ_lÌ_	Iron.5m	Depth.Max.O2	Okubo.Weiss	Residence.time
TARA_B100000678-TARA_B100000678	TARA_122	MES	non polar	0.22	3	2011-07-27T19:28:43	-8.9729	-139.2393	600	[SPO] South Pacific Ocean (MRGID:1910)	7.133995	40.6107	0		34.5789	0.1873	3.112808			27.07634			41.697487			0.030111594	98	0.028977		255		209	107	2.32E-06	13	0.007751	15.833333
TARA_B100001115-TARA_B100001115	TARA_122	SRF	non polar	0.22	3	2011-07-26T17:10	-8.9971	-139.1963	5	[SPO] South Pacific Ocean (MRGID:1910)	26.60467	187.07695	0.177137	0.0041	35.37032	0.27504	1.574452	0.0045	0	23.122935	0.56795		5.660372	2.1905	0.003	0.030111594	102	0.028977	0.11925	252	5.456	235	112	2.32E-06	14	0.007751	15.833333
TARA_B100000686-TARA_B100000686	TARA_123	MIX	non polar	0.22	3	2011-08-01T17:52:45	-8.9109	-140.2845	150	[SPO] South Pacific Ocean (MRGID:1910)	21.97372	158.18405	0	0.000925	35.877315		1.955839	0.006175	0.002	24.895825	0.6607		5.004597	1.18375	0.0025	0.02508309	107	0.053774	1.46875	237	5.44175	236	234	2.28E-06	13	-0.011503	1.083333
TARA_B100000683-TARA_B100000683	TARA_123	SRF	non polar	0.22	3	2011-07-31T17:20	-8.9068	-140.283	5	[SPO] South Pacific Ocean (MRGID:1910)	26.586685	189.6701	0.181215	0.0092	35.3551		1.63837	0.01	0.0036	23.11712	0.53495		4.805128	2.2205	0.0023	0.02508309	122	0.053774	0.14425	606	4.9015	278	134	2.28E-06	14	-0.011503	1.083333
TARA_B100000676-TARA_B100000676	TARA_124	MIX	non polar	0.22	3	2011-08-05T17:31:19	-9.0714	-140.5973	120	[SPO] South Pacific Ocean (MRGID:1910)	24.81397	172.42475	0.077051	0.00185	35.907345	0.10891	1.908626	0.00975	0	24.092785	0.4885		4.148328	1.469	0.00585	0.023188621	101	0.043603	0.3535	193	1.19925	145	111	2.46E-06	13	9.60E-05	2.777778
TARA_B100000674-TARA_B100000674	TARA_124	SRF	non polar	0.22	3	2011-08-04T18:33	-9.1504	-140.5216	5	[SPO] South Pacific Ocean (MRGID:1910)	26.572419	190.378187	0.261381	0.01184	35.384031	0.096513	1.628674	0.01821	0.00774	23.143631	0.63025		4.965553	2.53325	0.00937	0.023188621	103	0.043603	0.1665	286	6.2015	241	113	2.46E-06	13	9.60E-05	2.777778
TARA_B100001123-TARA_B100001123	TARA_125	MIX	non polar	0.22	3	2011-08-09T17:05:33	-8.8999	-142.5461	140	[SPO] South Pacific Ocean (MRGID:1910)	23.681605	160.81445	0	4.00E-04	36.28145	0.11492	1.897657	0.0025	0	24.715135	0.566		3.583718	1.24575	0	0.01748565	102	0.014455	0.05475	242	3.47525	211	111	2.36E-06	29	-0.004254	0
TARA_B100001121-TARA_B100001121	TARA_125	SRF	non polar	0.22	3	2011-08-08T17:33	-8.9111	-142.5571	5	[SPO] South Pacific Ocean (MRGID:1910)	26.80604	187.3321	0.178072	0.0029	35.42651	0.19558	1.645425	0.0077	0	23.10143	0.55725		5.460123	1.80475	0.0032	0.01748565	109	0.014455	0.1945	274	3.7335	281	119	2.36E-06	14	-0.004254	0
TARA_B100000614-TARA_B100000611	TARA_128	DCM	non polar	0.22	3	2011-09-05T18:40	0.0222	-153.6858	40	[SPO] South Pacific Ocean (MRGID:1910)	26.139288	177.673063	0.28262	0.0082	35.146525	0.31764	1.708381	0.0203	0	23.1032	0.54925		3.000673	2.7405	0.0036	0.032420254	64	0.115437	0.2835	376	5.264	298	113	3.35E-06	15	0.069092	0
TARA_B100000609-TARA_B100000603	TARA_128	SRF	non polar	0.22	3	2011-09-04T18:00	3.00E-04	-153.6759	5	[SPO] South Pacific Ocean (MRGID:1910)	26.218438	180.67375	0.25349	0.0061	35.129025	0.28378	1.682422	0.0127	0	23.062688	0.53975		2.964091	2.668	0.0015	0.032420254	77	0.115437	0.2715	483	5.0815	281	101	3.35E-06	14	0.069092	0
TARA_B100001250-TARA_B100000660	TARA_132	DCM	non polar	0.22	3	2011-10-05T00:59:03	31.5168	-159.046	115	[NPO] North Pacific Ocean (MRGID:1908)	15.321075	222.94125	0.158691	0.0099	34.39568	0.95762	1.910665	0.041	0	25.4389	0.1252		0	4.4468	0.0055	0.022323498	48	0.043804	0.017	16	0.047	128	58	0.00081438	52	0.134524	0
TARA_B100001245-TARA_B100001242	TARA_132	MES	non polar	0.22	3	2011-10-05T20:45:47	31.528	-159.0224	550	[NPO] North Pacific Ocean (MRGID:1908)	6.634392	131.979417	0	0	33.991383	0.83732	3.06763	0	0	26.6805			28.302949		0	0.022323498	47	0.043804		646		137	56	0.00081438	56	0.134524	0
TARA_B100001248-TARA_B100000658	TARA_132	SRF	non polar	0.22	3	2011-10-04T17:46	31.5213	-158.9958	5	[NPO] North Pacific Ocean (MRGID:1908)	25.164595	197.7245	0.101563	0.0024	35.19025	0.28116	1.397096	0.0035	0	23.434915	0.0062		0	2.4278	0	0.022323498	42	0.043804	0.002	1026	0.01	1055	52	0.00081438	50	0.134524	0
TARA_B100001094-TARA_B100001090	TARA_133	DCM	non polar	0.22	3	2011-10-19T00:09	35.4002	-127.7499	45	[NPO] North Pacific Ocean (MRGID:1908)	13.874505	236.1591	0.389715	0.03465	33.208145	1.0633	2.683702	0.10295	0	24.82737	0.43225		1.185394	2.65725	0.0169	0.019672674	11	0.043359	0.06	530	0.92875	95	38	0.000164224	29	-0.465615	41.555556
TARA_B100001093-TARA_B100001089	TARA_133	SRF	non polar	0.22	3	2011-10-18T15:35	35.3671	-127.7422	5	[NPO] North Pacific Ocean (MRGID:1908)	19.24802	223.159	0.140785	0.00805	33.07013	0.87662	1.791365	0.01845	0	23.48431	0.2925		0	1.95475	0.0022	0.019672674	11	0.043359	0.002	532	0.011	95	41	0.000164224	33	-0.465615	41.555556
