old_name	PANGAEA_ID	PANGAEA_ID_incorrect	equal
TARA_068_MES_0.45-0.8	TARA_Y100000758	TARA_Y100000758	TRUE
TARA_068_MES_lt-0.22	TARA_R100000963	TARA_R100000963	TRUE
TARA_068_SRF_0.22-0.45	TARA_Y100000741	TARA_Y100000741	TRUE
TARA_068_SRF_0.22-3	TARA_B100000475	TARA_B100000475	TRUE
TARA_068_SRF_0.45-0.8	TARA_Y100000739	TARA_Y100000739	TRUE
TARA_068_SRF_lt-0.22	TARA_R100000988	TARA_R100000988	TRUE
TARA_070_MES_0.22-0.45	TARA_Y100000782	TARA_Y100000782	TRUE
TARA_070_MES_0.22-3	TARA_B100000446	TARA_B100000446	TRUE
TARA_070_MES_0.45-0.8	TARA_Y100000780	TARA_Y100000780	TRUE
TARA_070_MES_lt-0.22	TARA_R100001039	TARA_R100001039	TRUE
TARA_070_SRF_0.22-0.45	TARA_Y100000768	TARA_Y100000768	TRUE
TARA_070_SRF_0.22-3	TARA_B100000459	TARA_B100000459	TRUE
TARA_070_SRF_0.45-0.8	TARA_Y100000766	TARA_Y100000766	TRUE
TARA_070_SRF_lt-0.22	TARA_R100001015	TARA_R100001015	TRUE
TARA_072_DCM_0.22-3	TARA_B100000427	TARA_B100000427	TRUE
TARA_072_DCM_lt-0.22	TARA_R100001082	TARA_R100001082	TRUE
TARA_072_MES_0.22-3	TARA_B100000508	TARA_B100000508	TRUE
TARA_072_MES_lt-0.22	TARA_R100001086	TARA_R100001086	TRUE
TARA_072_SRF_0.22-3	TARA_B100000424	TARA_B100000424	TRUE
TARA_072_SRF_lt-0.22	TARA_R100001079	TARA_R100001079	TRUE
TARA_076_DCM_0.22-0.45	TARA_Y100000817	TARA_Y100000817	TRUE
TARA_076_DCM_0.22-3	TARA_B100000519	TARA_B100000519	TRUE
TARA_076_DCM_0.45-0.8	TARA_Y100000814	TARA_Y100000814	TRUE
TARA_076_DCM_lt-0.22	TARA_R100001129	TARA_R100001129	TRUE
TARA_076_MES_0.22-3	TARA_B100000749	TARA_B100000749	TRUE
TARA_076_MES_0.45-0.8	TARA_Y100000815	TARA_Y100000815	TRUE
TARA_076_MES_lt-0.22	TARA_R100001132	TARA_R100001132	TRUE
TARA_076_SRF_0.22-0.45	TARA_Y100000816	TARA_Y100000816	TRUE
TARA_076_SRF_0.22-3	TARA_B100000513	TARA_B100000513	TRUE
TARA_076_SRF_0.45-0.8	TARA_Y100000813	TARA_Y100000813	TRUE
TARA_076_SRF_lt-0.22	TARA_R100001126	TARA_R100001126	TRUE
