old_name	PANGAEA_ID
TARA_099_SRF_0.22-3_T	TARA_B100000885
TARA_100_DCM_0.22-3_G	TARA_B100000965
TARA_100_DCM_0.22-3_T	TARA_B100000965
TARA_100_DCM_lt-0.22_G	TARA_R100001443
TARA_100_MES_0.22-3_G	TARA_B100000959
TARA_100_MES_0.22-3_T	TARA_B100000959
TARA_100_MES_lt-0.22_G	TARA_R100001530
TARA_100_SRF_0.22-3_G	TARA_B100000963
TARA_100_SRF_0.22-3_T	TARA_B100000963
TARA_100_SRF_lt-0.22_G	TARA_R100001440
TARA_102_DCM_0.22-3_G	TARA_B100000902
TARA_102_DCM_0.22-3_T	TARA_B100000902
TARA_102_DCM_lt-0.22_G	TARA_R100001463
TARA_102_MES_0.22-3_G	TARA_B100000953
TARA_102_MES_0.22-3_T	TARA_B100000953
TARA_102_MES_lt-0.22_G	TARA_R100001480
TARA_102_SRF_0.22-3_G	TARA_B100000900
TARA_102_SRF_0.22-3_T	TARA_B100000900
TARA_102_SRF_lt-0.22_G	TARA_R100001460
TARA_106_DCM_0.22-3_T	TARA_B100000918
TARA_106_MES_0.22-3_T	TARA_B100000920
TARA_106_SRF_0.22-3_T	TARA_B100000916
TARA_109_DCM_0.22-3_G	TARA_B100000927
TARA_109_DCM_0.22-3_T	TARA_B100000927
TARA_109_DCM_lt-0.22_G	TARA_R100001510
TARA_109_MES_0.22-3_G	TARA_B100000929
TARA_109_MES_0.22-3_T	TARA_B100000929
TARA_109_SRF_0.22-3_G	TARA_B100000925
TARA_109_SRF_0.22-3_T	TARA_B100000925
TARA_109_SRF_lt-0.22_G	TARA_R100001509
TARA_110_DCM_0.22-3_G	TARA_B100001113
TARA_110_DCM_0.22-3_T	TARA_B100001111
TARA_110_MES_0.22-3_G	TARA_B100001079
TARA_110_MES_0.22-3_T	TARA_B100001076
TARA_110_SRF_0.22-3_G	TARA_B100001109
TARA_110_SRF_0.22-3_T	TARA_B100001107
TARA_111_DCM_0.22-3_G	TARA_B100000579
TARA_111_DCM_0.22-3_T	TARA_B100000579
TARA_111_DCM_lt-0.22_G	TARA_R100000655
TARA_111_MES_0.22-3_G	TARA_B100000586
TARA_111_MES_lt-0.22_G	TARA_R100000656
TARA_111_SRF_0.22-3_G	TARA_B100000575
TARA_111_SRF_0.22-3_T	TARA_B100000575
TARA_111_SRF_lt-0.22_G	TARA_R100000654
TARA_112_DCM_0.22-3_G	TARA_B100000945
TARA_112_DCM_0.22-3_T	TARA_B100000943
TARA_112_MES_0.22-3_G	TARA_B100000949
TARA_112_SRF_0.22-3_G	TARA_B100000941
TARA_112_SRF_0.22-3_T	TARA_B100000939
TARA_113_SRF_0.22-3_T	TARA_B100000593
TARA_122_DCM_0.1-0.22_G	TARA_Y100001973
TARA_122_DCM_0.22-0.45_G	TARA_Y100001970
TARA_122_DCM_0.22-3_G	TARA_B100000700
TARA_122_DCM_0.22-3_T	TARA_B100000700
TARA_122_DCM_0.45-0.8_G	TARA_Y100001968
TARA_122_DCM_lt-0.22_G	TARA_R100000664
TARA_122_MES_0.1-0.22_G	TARA_Y100001951
TARA_122_MES_0.22-0.45_G	TARA_Y100001949
TARA_122_MES_0.22-3_G	TARA_B100000678
TARA_122_MES_0.22-3_T	TARA_B100000678
TARA_122_MES_0.45-0.8_G	TARA_Y100001947
TARA_122_MES_lt-0.22_G	TARA_R100000687
TARA_122_SRF_0.1-0.22_G	TARA_Y100001972
TARA_122_SRF_0.22-0.45_G	TARA_Y100001980
TARA_122_SRF_0.22-3_G	TARA_B100001115
TARA_122_SRF_0.22-3_T	TARA_B100001115
TARA_122_SRF_0.45-0.8_G	TARA_Y100001978
TARA_122_SRF_lt-0.22_G	TARA_R100000657
TARA_123_MIX_0.1-0.22_G	TARA_Y100001963
TARA_123_MIX_0.22-0.45_G	TARA_Y100001960
TARA_123_MIX_0.22-3_G	TARA_B100000686
TARA_123_MIX_0.22-3_T	TARA_B100000686
TARA_123_MIX_0.45-0.8_G	TARA_Y100001956
TARA_123_MIX_lt-0.22_G	TARA_R100001594
TARA_123_SRF_0.22-0.45_G	TARA_Y100001958
TARA_123_SRF_0.22-3_G	TARA_B100000683
TARA_123_SRF_0.22-3_T	TARA_B100000683
TARA_123_SRF_0.45-0.8_G	TARA_Y100001954
TARA_123_SRF_lt-0.22_G	TARA_R100001591
TARA_124_MIX_0.1-0.22_G	TARA_Y100001938
TARA_124_MIX_0.22-0.45_G	TARA_Y100001936
TARA_124_MIX_0.22-3_G	TARA_B100000676
TARA_124_MIX_0.22-3_T	TARA_B100000676
TARA_124_MIX_0.45-0.8_G	TARA_Y100001934
TARA_124_MIX_lt-0.22_G	TARA_R100000700
TARA_124_SRF_0.1-0.22_G	TARA_Y100001937
TARA_124_SRF_0.22-0.45_G	TARA_Y100001935
TARA_124_SRF_0.22-3_G	TARA_B100000674
TARA_124_SRF_0.22-3_T	TARA_B100000674
TARA_124_SRF_0.45-0.8_G	TARA_Y100001933
TARA_124_SRF_lt-0.22_G	TARA_R100000697
TARA_125_MIX_0.1-0.22_G	TARA_Y100000593
TARA_125_MIX_0.22-0.45_G	TARA_Y100000591
TARA_125_MIX_0.22-3_G	TARA_B100001123
TARA_125_MIX_0.22-3_T	TARA_B100001123
TARA_125_MIX_0.45-0.8_G	TARA_Y100000589
TARA_125_MIX_lt-0.22_G	TARA_R100000808
TARA_125_SRF_0.1-0.22_G	TARA_Y100000592
TARA_125_SRF_0.22-0.45_G	TARA_Y100000590
TARA_125_SRF_0.22-3_G	TARA_B100001121
TARA_125_SRF_0.22-3_T	TARA_B100001121
TARA_125_SRF_0.45-0.8_G	TARA_Y100000588
TARA_125_SRF_lt-0.22_G	TARA_R100000805
TARA_127_DCM_0.22-3_T	TARA_B100001230
TARA_127_SRF_0.22-3_T	TARA_B100001228
TARA_128_DCM_0.22-3_G	TARA_B100000614
TARA_128_DCM_0.22-3_T	TARA_B100000611
TARA_128_SRF_0.22-3_G	TARA_B100000609
TARA_128_SRF_0.22-3_T	TARA_B100000603
TARA_129_DCM_0.22-3_T	TARA_B100000624
TARA_129_SRF_0.22-3_T	TARA_B100000622
TARA_131_DCM_0.22-3_T	TARA_B100000639
TARA_131_MES_0.22-3_T	TARA_B100000651
TARA_131_SRF_0.22-3_T	TARA_B100000637
TARA_132_DCM_0.22-3_G	TARA_B100001250
TARA_132_DCM_0.22-3_T	TARA_B100000660
TARA_132_MES_0.22-3_G	TARA_B100001245
TARA_132_MES_0.22-3_T	TARA_B100001242
TARA_132_SRF_0.22-3_G	TARA_B100001248
TARA_132_SRF_0.22-3_T	TARA_B100000658
TARA_133_DCM_0.22-3_G	TARA_B100001094
TARA_133_DCM_0.22-3_T	TARA_B100001090
TARA_133_MES_0.22-3_G	TARA_B100001105
TARA_133_SRF_0.22-3_G	TARA_B100001093
TARA_133_SRF_0.22-3_T	TARA_B100001089
TARA_134_SRF_0.22-3_T	TARA_B100001261
TARA_135_DCM_0.22-3_T	TARA_B100001263
TARA_135_SRF_0.22-3_T	TARA_B100001275
TARA_136_SRF_0.22-3_T	TARA_B100001977
TARA_137_DCM_0.22-3_G	TARA_B100001964
TARA_137_DCM_0.22-3_T	TARA_B100001964
TARA_137_DCM_lt-0.22_G	TARA_R100000742
TARA_137_MES_0.22-3_G	TARA_B100001971
TARA_137_MES_0.22-3_T	TARA_B100001971
TARA_137_MES_lt-0.22_G	TARA_R100000750
TARA_137_SRF_0.22-3_G	TARA_B100001287
TARA_137_SRF_0.22-3_T	TARA_B100001287
TARA_137_SRF_lt-0.22_G	TARA_R100000734
TARA_138_DCM_0.22-3_G	TARA_B100001996
TARA_138_DCM_0.22-3_T	TARA_B100001996
TARA_138_DCM_lt-0.22_G	TARA_R100000781
TARA_138_MES_0.22-3_G	TARA_B100002003
TARA_138_MES_0.22-3_T	TARA_B100002003
TARA_138_MES_lt-0.22_G	TARA_R100000789
TARA_138_SRF_0.22-3_G	TARA_B100001989
TARA_138_SRF_0.22-3_T	TARA_B100001989
TARA_138_SRF_lt-0.22_G	TARA_R100000773
TARA_139_SRF_0.22-3_T	TARA_B100002010
TARA_140_SRF_0.22-3_G	TARA_B100002019
TARA_140_SRF_0.22-3_T	TARA_B100002017
TARA_141_SRF_0.22-3_G	TARA_B100001939
TARA_141_SRF_0.22-3_T	TARA_B100001937
TARA_142_DCM_0.22-3_G	TARA_B100002052
TARA_142_DCM_0.22-3_T	TARA_B100002056
TARA_142_MES_0.22-3_G	TARA_B100002049
TARA_142_MES_0.22-3_T	TARA_B100002046
TARA_142_SRF_0.22-3_G	TARA_B100002051
TARA_142_SRF_0.22-3_T	TARA_B100002054
TARA_143_DCM_0.22-3_T	TARA_B100001217
TARA_143_SRF_0.22-3_T	TARA_B100001215
TARA_144_SRF_0.22-3_T	TARA_B100001196
TARA_145_MES_0.22-3_G	TARA_B100001146
TARA_145_MES_0.22-3_T	TARA_B100001139
TARA_145_SRF_0.22-3_G	TARA_B100001142
TARA_145_SRF_0.22-3_T	TARA_B100001135
TARA_146_MES_0.22-3_G	TARA_B100001167
TARA_146_SRF_0.22-3_G	TARA_B100001540
TARA_147_SRF_0.22-3_T	TARA_B100001158
TARA_148_SRF_0.22-3_G	TARA_B100001741
TARA_148_SRF_0.22-3_T	TARA_B100001741,TARA_B100001742
TARA_148b_MES_0.22-3_G	TARA_B100001750
TARA_148b_MES_0.22-3_T	TARA_B100001750
TARA_149_MES_0.22-3_G	TARA_B100001765
TARA_149_MES_0.22-3_T	TARA_B100001765
TARA_149_SRF_0.22-3_G	TARA_B100001758
TARA_149_SRF_0.22-3_T	TARA_B100001758
