old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_096_DCM_0.22-3_T	BEZ_AHGAOSW_7_C8FJUACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHGAOSW_7_C8FJUACXX.IND8	TARA_B100000987
TARA_097_SRF_0.22-3_T	BEZ_AHHAOSW_3_C8NB8ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHHAOSW_3_C8NB8ACXX.IND9	TARA_B100000994
TARA_097_SRF_0.22-3_T	BEZ_AHHAOSW_6_C8FJUACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHHAOSW_6_C8FJUACXX.IND9	TARA_B100000994
TARA_097_MES_0.22-3_T	BEZ_AHIAOSW_4_C8NB8ACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHIAOSW_4_C8NB8ACXX.IND10	TARA_B100001000
TARA_097_MES_0.22-3_T	BEZ_AHIAOSW_7_C8FJUACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHIAOSW_7_C8FJUACXX.IND10	TARA_B100001000
TARA_097_DCM_0.22-3_T	BEZ_AHKAOSW_5_C8NB8ACXX.IND11_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHKAOSW_5_C8NB8ACXX.IND11	TARA_B100000973
TARA_097_DCM_0.22-3_T	BEZ_AHKAOSW_6_C8FJUACXX.IND11_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHKAOSW_6_C8FJUACXX.IND11	TARA_B100000973
TARA_098_SRF_0.22-3_T	BEZ_AHLAOSW_6_C8NB8ACXX.IND12_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHLAOSW_6_C8NB8ACXX.IND12	TARA_B100001031
TARA_098_SRF_0.22-3_T	BEZ_AHLAOSW_7_C8FJUACXX.IND12_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHLAOSW_7_C8FJUACXX.IND12	TARA_B100001031
TARA_098_DCM_0.22-3_T	BEZ_AHMAOSW_7_C8NB8ACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHMAOSW_7_C8NB8ACXX.IND1	TARA_B100001033
TARA_098_DCM_0.22-3_T	BEZ_AHMAOSW_8_C8FJUACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHMAOSW_8_C8FJUACXX.IND1	TARA_B100001033
TARA_098_MES_0.22-3_T	BEZ_AHNAOSW_3_C8NA5ACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHNAOSW_3_C8NA5ACXX.IND2	TARA_B100001010
TARA_098_MES_0.22-3_T	BEZ_AHNAOSW_8_C8FJUACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHNAOSW_8_C8FJUACXX.IND2	TARA_B100001010
TARA_099_SRF_0.22-3_T	BEZ_AHPAOSW_1_C8FB9ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHPAOSW_1_C8FB9ACXX.IND3	TARA_B100000885
TARA_099_SRF_0.22-3_T	BEZ_AHPAOSW_8_C8NB8ACXX.IND3_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHPAOSW_8_C8NB8ACXX.IND3	TARA_B100000885
TARA_106_SRF_0.22-3_T	BEZ_AHRAOSW_1_C8FB9ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHRAOSW_1_C8FB9ACXX.IND4	TARA_B100000916
TARA_106_SRF_0.22-3_T	BEZ_AHRAOSW_6_C8NA2ACXX.IND4_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHRAOSW_6_C8NA2ACXX.IND4	TARA_B100000916
TARA_106_DCM_0.22-3_T	BEZ_AHSAOSW_7_C8NA2ACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHSAOSW_7_C8NA2ACXX.IND5	TARA_B100000918
TARA_106_DCM_0.22-3_T	BEZ_AHSAOSW_8_C8FJUACXX.IND5_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHSAOSW_8_C8FJUACXX.IND5	TARA_B100000918
TARA_106_MES_0.22-3_T	BEZ_AHTAOSW_1_C8FB9ACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHTAOSW_1_C8FB9ACXX.IND6	TARA_B100000920
TARA_106_MES_0.22-3_T	BEZ_AHTAOSW_8_C8NA2ACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHTAOSW_8_C8NA2ACXX.IND6	TARA_B100000920
TARA_110_SRF_0.22-3_T	BEZ_AHXAOSW_2_C8FB9ACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHXAOSW_2_C8FB9ACXX.IND7	TARA_B100001107
TARA_110_SRF_0.22-3_T	BEZ_AHXAOSW_4_C8NA5ACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AHXAOSW_4_C8NA5ACXX.IND7	TARA_B100001107
TARA_110_DCM_0.22-3_T	BEZ_AIAAOSW_3_C8FB9ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIAAOSW_3_C8FB9ACXX.IND8	TARA_B100001111
