Sample label [TARA_station#_environmental-feature_size-fraction]	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 
TARA_022_SRF_<-0.22	ERS488448	ERR594378|ERR594406	"http://www.ebi.ac.uk/ena/data/view/ERR594378,ERR594406"	TARA_S200002703	http://www.pangaea.de/search?All&q=TARA_S200002703	TARA_022	2009-11-16T08:16	39.8386	17.4155	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_023_DCM_0.22-1.6	ERS477998	ERR315859|ERR315860	"http://www.ebi.ac.uk/ena/data/view/ERR315859,ERR315860"	TARA_E500000081	http://www.pangaea.de/search?All&q=TARA_E500000081	TARA_023	2009-11-18T13:50	42.1735	17.7252	55	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_023_DCM_<-0.22	ERS478007	ERR594408	http://www.ebi.ac.uk/ena/data/view/ERR594408	TARA_X000001382	http://www.pangaea.de/search?All&q=TARA_X000001382	TARA_023	2009-11-18T13:50	42.1735	17.7252	55	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_023_SRF_0.22-1.6	ERS477979	ERR315858|ERR315861	"http://www.ebi.ac.uk/ena/data/view/ERR315858,ERR315861"	TARA_E500000075	http://www.pangaea.de/search?All&q=TARA_E500000075	TARA_023	2009-11-18T08:41	42.2038	17.715	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_025_DCM_0.22-1.6	ERS488509	ERR599094|ERR599153	"http://www.ebi.ac.uk/ena/data/view/ERR599094,ERR599153"	TARA_E500000331	http://www.pangaea.de/search?All&q=TARA_E500000331	TARA_025	2009-11-23T13:52	39.3991	19.3997	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_025_DCM_<-0.22	ERS488518	ERR594375	http://www.ebi.ac.uk/ena/data/view/ERR594375	TARA_E500000305	http://www.pangaea.de/search?All&q=TARA_E500000305	TARA_025	2009-11-23T13:52	39.3991	19.3997	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_025_SRF_0.22-1.6	ERS488486	ERR598951|ERR599043	"http://www.ebi.ac.uk/ena/data/view/ERR598951,ERR599043"	TARA_E500000178	http://www.pangaea.de/search?All&q=TARA_E500000178	TARA_025	2009-11-23T09:12	39.3888	19.3905	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_025_SRF_<-0.22	ERS488499	ERR594396	http://www.ebi.ac.uk/ena/data/view/ERR594396	TARA_E500000318	http://www.pangaea.de/search?All&q=TARA_E500000318	TARA_025	2009-11-23T09:12	39.3888	19.3905	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_030_DCM_0.22-1.6	ERS478040	ERR318618|ERR318619|ERR318620|ERR318621	"http://www.ebi.ac.uk/ena/data/view/ERR318618,ERR318619,ERR318620,ERR318621"	TARA_A100001011	http://www.pangaea.de/search?All&q=TARA_A100001011	TARA_030	2009-12-15T15:23:37	33.9235	32.8118	70	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_030_DCM_<-0.22	ERS478052	ERR594405	http://www.ebi.ac.uk/ena/data/view/ERR594405	TARA_X000001388	http://www.pangaea.de/search?All&q=TARA_X000001388	TARA_030	2009-12-15T15:23:37	33.9235	32.8118	70	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
