Sample label [TARA_station#_environmental-feature_size-fraction]	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 
TARA_076_DCM_0.22-3	ERS490597	ERR599040|ERR599148	"http://www.ebi.ac.uk/ena/data/view/ERR599040,ERR599148"	TARA_B100000519	http://www.pangaea.de/search?All&q=TARA_B100000519	TARA_076	2010-10-16T16:58:37	-21.0292	-35.3498	150	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_DCM_0.22-0.45	ERS490602	ERR594321	http://www.ebi.ac.uk/ena/data/view/ERR594321	TARA_Y100000817	http://www.pangaea.de/search?All&q=TARA_Y100000817	TARA_076	2010-10-16T16:58:37	-21.0292	-35.3498	150	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_DCM_0.45-0.8	ERS490603	ERR594298	http://www.ebi.ac.uk/ena/data/view/ERR594298	TARA_Y100000814	http://www.pangaea.de/search?All&q=TARA_Y100000814	TARA_076	2010-10-16T16:58:37	-21.0292	-35.3498	150	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_DCM_<-0.22	ERS490610	ERR594355	http://www.ebi.ac.uk/ena/data/view/ERR594355	TARA_R100001129	http://www.pangaea.de/search?All&q=TARA_R100001129	TARA_076	2010-10-16T16:58:37	-21.0292	-35.3498	150	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_MES_0.22-3	ERS490633	ERR599000|ERR599154	"http://www.ebi.ac.uk/ena/data/view/ERR599000,ERR599154"	TARA_B100000749	http://www.pangaea.de/search?All&q=TARA_B100000749	TARA_076	2010-10-17T09:05:05	-20.9315	-35.1794	800	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_MES_0.45-0.8	ERS490643	ERR594333	http://www.ebi.ac.uk/ena/data/view/ERR594333	TARA_Y100000815	http://www.pangaea.de/search?All&q=TARA_Y100000815	TARA_076	2010-10-17T09:05:05	-20.9315	-35.1794	800	(MES) mesopelagic zone (ENVO:00000213)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_SRF_0.22-3	ERS490542	ERR599010|ERR599126	"http://www.ebi.ac.uk/ena/data/view/ERR599010,ERR599126"	TARA_B100000513	http://www.pangaea.de/search?All&q=TARA_B100000513	TARA_076	2010-10-16T09:55	-20.9354	-35.1803	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_SRF_0.22-0.45	ERS490547	ERR594310	http://www.ebi.ac.uk/ena/data/view/ERR594310	TARA_Y100000816	http://www.pangaea.de/search?All&q=TARA_Y100000816	TARA_076	2010-10-16T09:55	-20.9354	-35.1803	5	(SRF) surface water layer (ENVO:00002042)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_SRF_0.45-0.8	ERS490548	ERR594286	http://www.ebi.ac.uk/ena/data/view/ERR594286	TARA_Y100000813	http://www.pangaea.de/search?All&q=TARA_Y100000813	TARA_076	2010-10-16T09:55	-20.9354	-35.1803	5	(SRF) surface water layer (ENVO:00002042)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_076_SRF_<-0.22	ERS490557	ERR594354	http://www.ebi.ac.uk/ena/data/view/ERR594354	TARA_R100001126	http://www.pangaea.de/search?All&q=TARA_R100001126	TARA_076	2010-10-16T09:55	-20.9354	-35.1803	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_DCM_0.22-3	ERS490691	ERR599046|ERR599101	"http://www.ebi.ac.uk/ena/data/view/ERR599046,ERR599101"	TARA_B100000530	http://www.pangaea.de/search?All&q=TARA_B100000530	TARA_078	2010-11-04T18:16:53	-30.1484	-43.2705	120	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_DCM_0.22-0.45	ERS490696	ERR594336	http://www.ebi.ac.uk/ena/data/view/ERR594336	TARA_Y100000996	http://www.pangaea.de/search?All&q=TARA_Y100000996	TARA_078	2010-11-04T18:16:53	-30.1484	-43.2705	120	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_DCM_0.45-0.8	ERS490697	ERR594303	http://www.ebi.ac.uk/ena/data/view/ERR594303	TARA_Y100000994	http://www.pangaea.de/search?All&q=TARA_Y100000994	TARA_078	2010-11-04T18:16:53	-30.1484	-43.2705	120	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_MES_0.22-3	ERS490714	ERR599124|ERR599159	"http://www.ebi.ac.uk/ena/data/view/ERR599124,ERR599159"	TARA_B100000745	http://www.pangaea.de/search?All&q=TARA_B100000745	TARA_078	2010-11-05T12:33:27	-30.1471	-43.2915	800	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_MES_0.45-0.8	ERS490722	ERR594289	http://www.ebi.ac.uk/ena/data/view/ERR594289	TARA_Y100001001	http://www.pangaea.de/search?All&q=TARA_Y100001001	TARA_078	2010-11-05T12:33:27	-30.1471	-43.2915	800	(MES) mesopelagic zone (ENVO:00000213)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_SRF_0.22-3	ERS490659	ERR599006|ERR599022	"http://www.ebi.ac.uk/ena/data/view/ERR599006,ERR599022"	TARA_B100000524	http://www.pangaea.de/search?All&q=TARA_B100000524	TARA_078	2010-11-04T10:04	-30.1367	-43.2899	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_SRF_0.22-0.45	ERS490664	ERR594340	http://www.ebi.ac.uk/ena/data/view/ERR594340	TARA_Y100000992	http://www.pangaea.de/search?All&q=TARA_Y100000992	TARA_078	2010-11-04T10:04	-30.1367	-43.2899	5	(SRF) surface water layer (ENVO:00002042)	0.22	0.45	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_SRF_0.45-0.8	ERS490665	ERR594332	http://www.ebi.ac.uk/ena/data/view/ERR594332	TARA_Y100000991	http://www.pangaea.de/search?All&q=TARA_Y100000991	TARA_078	2010-11-04T10:04	-30.1367	-43.2899	5	(SRF) surface water layer (ENVO:00002042)	0.45	0.8	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_078_SRF_<-0.22	ERS490676	ERR594411	http://www.ebi.ac.uk/ena/data/view/ERR594411	TARA_R100001224	http://www.pangaea.de/search?All&q=TARA_R100001224	TARA_078	2010-11-04T10:04	-30.1367	-43.2899	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(SAO) South Atlantic Ocean [MRGID:1914]	(SATL) South Atlantic Gyral Province [MRGID:21459]
TARA_082_DCM_0.22-3	ERS490928	ERR599027|ERR599122	"http://www.ebi.ac.uk/ena/data/view/ERR599027,ERR599122"	TARA_B100000767	http://www.pangaea.de/search?All&q=TARA_B100000767	TARA_082	2010-12-06T18:58	-47.2007	-57.9446	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(FKLD) Southwest Atlantic Shelves Province [MRGID:21469]
TARA_082_DCM_<-0.22	ERS490953	ERR594409	http://www.ebi.ac.uk/ena/data/view/ERR594409	TARA_R100000544	http://www.pangaea.de/search?All&q=TARA_R100000544	TARA_082	2010-12-06T18:58	-47.2007	-57.9446	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(FKLD) Southwest Atlantic Shelves Province [MRGID:21469]
TARA_082_SRF_0.22-3	ERS490885	ERR599009|ERR599035	"http://www.ebi.ac.uk/ena/data/view/ERR599009,ERR599035"	TARA_B100000768	http://www.pangaea.de/search?All&q=TARA_B100000768	TARA_082	2010-12-06T10:33	-47.1863	-58.2902	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(SAO) South Atlantic Ocean [MRGID:1914]	(FKLD) Southwest Atlantic Shelves Province [MRGID:21469]
TARA_084_SRF_0.22-3	ERS491001	ERR598945|ERR599059	"http://www.ebi.ac.uk/ena/data/view/ERR598945,ERR599059"	TARA_B100000780	http://www.pangaea.de/search?All&q=TARA_B100000780	TARA_084	2011-01-03T11:05	-60.2287	-60.6476	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]
TARA_085_DCM_0.22-3	ERS491095	ERR599104|ERR599121	"http://www.ebi.ac.uk/ena/data/view/ERR599104,ERR599121"	TARA_B100000795	http://www.pangaea.de/search?All&q=TARA_B100000795	TARA_085	2011-01-06T19:34:21	-62.2231	-49.2139	90	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]
TARA_085_DCM_<-0.22	ERS491107	ERR594377	http://www.ebi.ac.uk/ena/data/view/ERR594377	TARA_R100001377	http://www.pangaea.de/search?All&q=TARA_R100001377	TARA_085	2011-01-06T19:34:21	-62.2231	-49.2139	90	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]
TARA_085_MES_0.22-3	ERS491110	ERR599008|ERR599125	"http://www.ebi.ac.uk/ena/data/view/ERR599008,ERR599125"	TARA_B100000809	http://www.pangaea.de/search?All&q=TARA_B100000809	TARA_085	2011-01-07T10:39:47	-61.9689	-49.5017	790	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]
TARA_085_SRF_0.22-3	ERS491044	ERR599090|ERR599176	"http://www.ebi.ac.uk/ena/data/view/ERR599090,ERR599176"	TARA_B100000787	http://www.pangaea.de/search?All&q=TARA_B100000787	TARA_085	2011-01-06T10:38	-62.0385	-49.529	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Polar Biome	(SO) Southern Ocean [MRGID:1907]	(ANTA) Antarctic Province [MRGID:21502]
TARA_093_DCM_0.22-3	ERS491463	ERR598965	http://www.ebi.ac.uk/ena/data/view/ERR598965	TARA_B100001059	http://www.pangaea.de/search?All&q=TARA_B100001059	TARA_093	2011-03-12T19:36:38	-33.9116	-73.0537	35	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(SPO) South Pacific Ocean [MRGID:1910]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_093_SRF_0.22-3	ERS491421	ERR599064	http://www.ebi.ac.uk/ena/data/view/ERR599064	TARA_B100001063	http://www.pangaea.de/search?All&q=TARA_B100001063	TARA_093	2011-03-12T11:34	-34.0614	-73.1066	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(SPO) South Pacific Ocean [MRGID:1910]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_094_SRF_0.22-3	ERS491492	ERR599050	http://www.ebi.ac.uk/ena/data/view/ERR599050	TARA_B100001057	http://www.pangaea.de/search?All&q=TARA_B100001057	TARA_094	2011-03-18T11:57	-32.7971	-87.0693	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_096_SRF_0.22-3	ERS491525	ERR598967	http://www.ebi.ac.uk/ena/data/view/ERR598967	TARA_B100000989	http://www.pangaea.de/search?All&q=TARA_B100000989	TARA_096	2011-03-24T13:00	-29.7238	-101.1604	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_098_DCM_0.22-3	ERS491740	ERR599042|ERR599079	"http://www.ebi.ac.uk/ena/data/view/ERR599042,ERR599079"	TARA_B100001029	http://www.pangaea.de/search?All&q=TARA_B100001029	TARA_098	2011-04-03T21:50:58	-25.826	-111.7294	188	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_098_MES_0.22-3	ERS491767	ERR599071|ERR599085	"http://www.ebi.ac.uk/ena/data/view/ERR599071,ERR599085"	TARA_B100001013	http://www.pangaea.de/search?All&q=TARA_B100001013	TARA_098	2011-04-04T13:55:02	-25.8076	-111.6906	488	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_098_SRF_0.22-3	ERS491699	ERR599093|ERR599120	"http://www.ebi.ac.uk/ena/data/view/ERR599093,ERR599120"	TARA_B100001027	http://www.pangaea.de/search?All&q=TARA_B100001027	TARA_098	2011-04-03T13:44	-25.8051	-111.7202	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_099_SRF_0.22-3	ERS491804	ERR599024	http://www.ebi.ac.uk/ena/data/view/ERR599024	TARA_B100000886	http://www.pangaea.de/search?All&q=TARA_B100000886	TARA_099	2011-04-09T13:56	-21.146	-104.787	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_100_DCM_0.22-3	ERS491874	ERR599081|ERR599113	"http://www.ebi.ac.uk/ena/data/view/ERR599081,ERR599113"	TARA_B100000965	http://www.pangaea.de/search?All&q=TARA_B100000965	TARA_100	2011-04-15T19:38	-12.9723	-96.0122	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_100_MES_0.22-3	ERS491913	ERR598946|ERR598953|ERR598981	"http://www.ebi.ac.uk/ena/data/view/ERR598946,ERR598953,ERR598981"	TARA_B100000959	http://www.pangaea.de/search?All&q=TARA_B100000959	TARA_100	2011-04-16T13:03:08	-12.9794	-96.0232	177	(DCM) deep chlorophyll maximum layer (ENVO:01000326) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_100_SRF_0.22-3	ERS491836	ERR599063|ERR599163|ERR599169	"http://www.ebi.ac.uk/ena/data/view/ERR599063,ERR599163,ERR599169"	TARA_B100000963	http://www.pangaea.de/search?All&q=TARA_B100000963	TARA_100	2011-04-15T12:45	-13.0023	-95.9759	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_102_DCM_0.22-3	ERS492012	ERR598962|ERR599007|ERR599168	"http://www.ebi.ac.uk/ena/data/view/ERR598962,ERR599007,ERR599168"	TARA_B100000902	http://www.pangaea.de/search?All&q=TARA_B100000902	TARA_102	2011-04-22T21:13	-5.2669	-85.2732	40	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]
TARA_102_MES_0.22-3	ERS491980	ERR599055|ERR599128|ERR599132	"http://www.ebi.ac.uk/ena/data/view/ERR599055,ERR599128,ERR599132"	TARA_B100000953	http://www.pangaea.de/search?All&q=TARA_B100000953	TARA_102	2011-04-22T12:08:28	-5.261	-85.1678	480	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]
TARA_102_SRF_0.22-3	ERS491938	ERR598943|ERR598978	"http://www.ebi.ac.uk/ena/data/view/ERR598943,ERR598978"	TARA_B100000900	http://www.pangaea.de/search?All&q=TARA_B100000900	TARA_102	2011-04-21T20:07	-5.2529	-85.1545	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	(PEOD) Pacific Equatorial Divergence Province [MRGID:21489]
TARA_109_DCM_0.22-3	ERS492177	ERR598952|ERR599065|ERR599108	"http://www.ebi.ac.uk/ena/data/view/ERR598952,ERR599065,ERR599108"	TARA_B100000927	http://www.pangaea.de/search?All&q=TARA_B100000927	TARA_109	2011-05-12T22:15	2.0299	-84.5546	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Coastal Biome 	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_109_DCM_<-0.22	ERS492198	ERR594357|ERR594380|ERR594381|ERR594383|ERR594387	"http://www.ebi.ac.uk/ena/data/view/ERR594357,ERR594380,ERR594381,ERR594383,ERR594387"	TARA_R100001510	http://www.pangaea.de/search?All&q=TARA_R100001510	TARA_109	2011-05-12T22:15	2.0299	-84.5546	30	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_109_MES_0.22-3	ERS492205	ERR598971|ERR599067	"http://www.ebi.ac.uk/ena/data/view/ERR598971,ERR599067"	TARA_B100000929	http://www.pangaea.de/search?All&q=TARA_B100000929	TARA_109	2011-05-13T16:08:58	2.0649	-84.5546	380	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Coastal Biome 	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_109_SRF_0.22-3	ERS492145	ERR598997|ERR599118	"http://www.ebi.ac.uk/ena/data/view/ERR598997,ERR599118"	TARA_B100000925	http://www.pangaea.de/search?All&q=TARA_B100000925	TARA_109	2011-05-12T14:00	1.9928	-84.5766	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Coastal Biome 	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_109_SRF_<-0.22	ERS492160	ERR594412	http://www.ebi.ac.uk/ena/data/view/ERR594412	TARA_R100001509	http://www.pangaea.de/search?All&q=TARA_R100001509	TARA_109	2011-05-12T14:00	1.9928	-84.5766	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(NPO) North Pacific Ocean [MRGID:1908]	(CHIL) Chile-Peru Current Coastal Province [MRGID:21495]
TARA_110_DCM_0.22-3	ERS492264	ERR599014	http://www.ebi.ac.uk/ena/data/view/ERR599014	TARA_B100001113	http://www.pangaea.de/search?All&q=TARA_B100001113	TARA_110	2011-05-21T21:00	-1.9002	-84.6265	50	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_110_MES_0.22-3	ERS492294	ERR599020	http://www.ebi.ac.uk/ena/data/view/ERR599020	TARA_B100001079	http://www.pangaea.de/search?All&q=TARA_B100001079	TARA_110	2011-05-22T13:20	-1.8902	-84.6141	380	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_110_SRF_0.22-3	ERS492228	ERR599039	http://www.ebi.ac.uk/ena/data/view/ERR599039	TARA_B100001109	http://www.pangaea.de/search?All&q=TARA_B100001109	TARA_110	2011-05-21T12:27	-2.0133	-84.589	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_111_DCM_0.22-3	ERS492357	ERR598961	http://www.ebi.ac.uk/ena/data/view/ERR598961	TARA_B100000579	http://www.pangaea.de/search?All&q=TARA_B100000579	TARA_111	2011-05-31T20:28:10	-16.9587	-100.6751	90	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_111_MES_0.22-3	ERS492381	ERR599086	http://www.ebi.ac.uk/ena/data/view/ERR599086	TARA_B100000586	http://www.pangaea.de/search?All&q=TARA_B100000586	TARA_111	2011-06-01T16:00:59	-16.9486	-100.6715	350	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_111_SRF_0.22-3	ERS492321	ERR599077	http://www.ebi.ac.uk/ena/data/view/ERR599077	TARA_B100000575	http://www.pangaea.de/search?All&q=TARA_B100000575	TARA_111	2011-05-31T14:25	-16.9601	-100.6335	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_112_DCM_0.22-3	ERS492445	ERR598957	http://www.ebi.ac.uk/ena/data/view/ERR598957	TARA_B100000945	http://www.pangaea.de/search?All&q=TARA_B100000945	TARA_112	2011-06-15T00:55:48	-23.2189	-129.4997	155	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_112_MES_0.22-3	ERS492471	ERR599072	http://www.ebi.ac.uk/ena/data/view/ERR599072	TARA_B100000949	http://www.pangaea.de/search?All&q=TARA_B100000949	TARA_112	2011-06-15T18:43:16	-23.2232	-129.5986	696	(MES) mesopelagic zone (ENVO:00000213)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_112_SRF_0.22-3	ERS492408	ERR598954	http://www.ebi.ac.uk/ena/data/view/ERR598954	TARA_B100000941	http://www.pangaea.de/search?All&q=TARA_B100000941	TARA_112	2011-06-14T16:45	-23.2811	-129.3947	5	(SRF) surface water layer (ENVO:00002042)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_122_DCM_0.1-0.22	ERS492703	ERR594284	http://www.ebi.ac.uk/ena/data/view/ERR594284	TARA_Y100001973	http://www.pangaea.de/search?All&q=TARA_Y100001973	TARA_122	2011-07-28T17:15:56	-9.0063	-139.1394	115	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.1	0.22	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_122_DCM_0.22-3	ERS492699	ERR598948	http://www.ebi.ac.uk/ena/data/view/ERR598948	TARA_B100000700	http://www.pangaea.de/search?All&q=TARA_B100000700	TARA_122	2011-07-28T17:15:56	-9.0063	-139.1394	115	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	3	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_122_DCM_0.22-0.45	ERS492704	ERR594304	http://www.ebi.ac.uk/ena/data/view/ERR594304	TARA_Y100001970	http://www.pangaea.de/search?All&q=TARA_Y100001970	TARA_122	2011-07-28T17:15:56	-9.0063	-139.1394	115	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	0.45	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_122_DCM_0.45-0.8	ERS492705	ERR594301	http://www.ebi.ac.uk/ena/data/view/ERR594301	TARA_Y100001968	http://www.pangaea.de/search?All&q=TARA_Y100001968	TARA_122	2011-07-28T17:15:56	-9.0063	-139.1394	115	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.45	0.8	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
TARA_122_MES_0.1-0.22	ERS492683	ERR594309	http://www.ebi.ac.uk/ena/data/view/ERR594309	TARA_Y100001951	http://www.pangaea.de/search?All&q=TARA_Y100001951	TARA_122	2011-07-27T19:28:43	-8.9729	-139.2393	600	(MES) mesopelagic zone (ENVO:00000213)	0.1	0.22	Trades Biome	(SPO) South Pacific Ocean [MRGID:1910]	"(SPSG) South Pacific Subtropical Gyre Province, North and South [MRGID:21486]"
