PANGAEA sample id	Raw bases	Raw reads	HQ bases	HQ reads	Avg read length	Scaftigs	Total length	Max length	N50	Predicted genes
TARA_Y100000593	20296699170	207659762	16957226183	188631510	90	145635	205449904	181181	1809	345817
TARA_Y100000591	35092551118	355384504	30266002610	330237468	92	394138	416454440	191676	1080	715159
TARA_B100001123	36522951316	370803024	29871967396	328380341	91	550363	669353477	484556	1354	1037513
TARA_Y100000589	38545099264	393280108	31473202256	353226124	89	354188	415155041	192623	1270	648871
TARA_R100000808	12321086779	126300944	8351689474	96656658	86	71424	97797228	108495	1728	168831
TARA_R100000805	10992046518	111598866	7794560833	88606792	88	67593	76669341	77981	1214	138810
TARA_Y100000592	17166658668	174494062	14529323406	160086563	91	147896	193732176	103527	1550	326523
TARA_Y100000590	37554178181	380903618	31816049790	348530126	91	514256	637796702	568216	1400	1023347
TARA_B100001121	32798923827	328505148	28848805650	307957576	94	358174	372348792	201089	1044	628184
TARA_Y100000588	33748168523	348200200	28243810371	318738840	89	514528	609711466	236072	1301	937871
TARA_B100000614	29552159601	297815870	25618913514	278182539	92	275653	311285435	498513	1187	499459
TARA_B100000609	30384671904	306384522	25535992286	284445761	90	264160	266906348	325210	998	442704
TARA_B100001250	51241793953	522620482	38909159725	433149549	90	463396	478885175	96260	1060	799643
TARA_B100001245	40054972110	407894524	32163605207	360434425	89	264374	260327805	140630	988	432396
TARA_B100001248	33019530874	333427578	27277257586	304975519	89	268373	277804338	168460	1047	469256
TARA_B100001094	35484585604	359284260	30081810098	324616652	93	454976	486648875	374006	1104	812125
TARA_B100001105	42860450661	437816192	36147503029	392702028	92	271246	274173778	145866	1030	449287
TARA_B100001093	53487641681	539113764	42483903943	462240205	92	568522	625040478	204982	1158	1030160
TARA_B100001964	38426096650	385071042	33411192986	359534838	93	333141	408984713	210376	1382	617241
TARA_R100000742	7026820208	72196088	5133751592	58346807	88	60013	54072372	45605	875	105460
TARA_B100001971	40106578365	402714396	34563027616	372718152	93	342465	379687635	391829	1179	596817
TARA_R100000750	6229118260	65674652	4256128025	50230275	85	49445	58329827	248042	1249	97702
TARA_R100000734	7109639584	72756492	5403556387	60572429	89	60706	57763136	41350	939	115134
TARA_B100001287	36455260631	371142378	30412213248	331881103	92	308774	313272261	119309	1029	534264
TARA_B100001996	38613633728	391822972	30970555564	342491361	90	358648	350967245	62327	989	597191
TARA_R100000781	7359430394	76711602	5403980230	61766355	87	64285	67414909	1187307	1056	128182
TARA_B100002003	34453611016	346225714	29553798419	319703262	92	317257	357063555	132480	1202	558130
TARA_R100000789	8862339412	95456194	6057840396	72904914	83	73816	98553728	430321	1598	154473
TARA_R100000773	8456968802	86921234	6439233808	72459238	89	63139	62157307	47202	984	120651
TARA_B100001989	34045994384	342278366	28838038121	311888634	92	284805	274884942	82195	953	475909
TARA_B100002019	36849297558	370334582	31392579154	335660959	94	344023	342828463	70104	1002	605014
TARA_B100001939	33917602530	342398030	28472579199	311469542	91	351981	353221524	330592	1017	621134
TARA_B100002052	30926232458	311581824	26549309184	288134459	92	345133	358093141	476323	1069	602143
TARA_B100002049	32445992734	328237008	27513271132	300762214	91	226283	229686542	220117	1014	379403
TARA_B100002051	31151822592	314283624	26588911670	288959000	92	365342	388905945	312333	1095	647902
TARA_B100001146	35012444630	354224626	29066844971	317444967	92	261771	279543539	258195	1105	444920
TARA_B100001142	34724751061	352030928	29102367055	317878065	92	376960	422770998	125319	1210	661458
TARA_B100001167	30478289383	307846576	25911112372	283448214	91	198498	179638024	81141	884	310927
TARA_B100001540	33618784181	338943134	29052969048	310522687	94	378485	391220408	70145	1063	648291
TARA_B100001750	33529892640	339721848	27353825225	300140171	91	358629	374972116	1737431	1068	614088
TARA_B100001741	34061723556	346238396	27798441870	304342528	91	360119	350557505	180945	971	602427
TARA_B100001765	38144459509	388065794	29472197900	329290893	90	215350	204130144	155280	935	346317
TARA_B100001758	35306537802	357891876	28900738535	314545851	92	375530	373121664	92529	1007	621107
TARA_B100001778	36053577901	364054734	29279208423	321040924	91	380377	372319831	403162	984	639695
TARA_B100001769	38228644813	387769558	30606559808	333852872	92	368441	343817982	54648	926	602520
TARA_B100001559	36235703961	369538288	28622994115	316857199	90	369196	363499327	109705	987	624688
TARA_B100001564	39094876638	396286730	31276790761	341045048	92	396412	400357591	183134	1025	685782
TARA_B100001175	38443789167	388462874	32135502471	349395064	92	378529	380822682	89380	1020	646981
TARA_B100001179	34239796554	345574560	28992663100	315718849	92	248340	249003229	124073	1019	413652
TARA_B100001173	32684205384	329240054	27519850462	302028834	91	327885	342964531	90350	1081	567036
TARA_B110000008	35673851228	357393502	31040566535	333376323	93	328787	373840467	87540	1220	567665
TARA_R110002012	56455470853	570239614	44422747176	495547671	90	249251	416293039	629980	2459	614235
TARA_B110000014	36926066520	370391086	32114182734	345266565	93	365021	347437020	80993	950	601439
TARA_R110002020	55403393090	560571718	42782752863	481502357	89	329363	499672572	521984	2009	774963
TARA_B110000003	39694685837	397681922	33438377902	366908583	91	302938	353329450	196195	1286	536023
TARA_R110002003	61369333965	621972920	45238481837	523035790	86	4160	34450707	77215	17850	25505
TARA_B110001452	30309450806	304435280	23676705777	270128473	88	258025	285917121	86391	1188	430128
TARA_R110002050	51270793693	517830542	39701745996	447441890	89	219204	366391268	586172	2472	515068
TARA_B110001454	29096232018	291324614	25978609621	277553979	94	251137	267456491	280630	1098	436884
TARA_R110002051	57976079585	591212538	42193924941	483411378	87	207578	355009491	501485	2791	503566
TARA_B110001450	40261124417	402932612	34220794082	373981684	92	295001	321304455	85212	1144	500727
TARA_R110002049	53397833114	542812760	40386456019	457884721	88	230604	408044063	1145854	2765	563763
TARA_B110000196	43927023043	440972758	37092728307	403657238	92	404336	405705800	73684	1013	671364
TARA_R110002060	54073953548	544576256	42811000550	478064756	90	61635	71874736	131342	1310	99382
TARA_B110001469	32426126467	324989054	28721790390	306718487	94	204121	222541480	83856	1140	330210
TARA_R110002033	59787837853	604978274	45154898498	510929181	88	101062	170659393	273137	2692	240073
TARA_B110000046	33896810005	339465160	28548218501	311678782	92	236120	285303605	231127	1349	414460
TARA_R110002073	46995322222	477216880	37300977258	413455634	90	242796	413156603	865209	2568	582519
TARA_B110000037	32305218016	322501268	28785683672	307362470	94	273890	340054452	265636	1415	510013
TARA_R110002074	57036468213	578407150	43756822415	490214371	89	288964	450846227	344509	2145	667764
TARA_B110000027	28197311111	281316518	25580480932	269640573	95	171573	196913765	63190	1240	304315
TARA_R110002072	50556535359	511385596	39347988334	444932905	88	216317	397818349	810065	3061	536137
TARA_B110000093	26453547461	263756272	23368348541	253608239	92	231345	276097118	145045	1332	413958
TARA_R110002096	52385704659	528960984	41405501675	462637138	89	311002	511159863	495633	2401	728608
TARA_B110000091	31896684675	318044830	27661045535	298480291	93	275721	328422714	89043	1324	482268
TARA_B110000090	34267378971	342121874	29319265608	316894061	93	259199	314511160	94449	1359	453649
TARA_R110002095	47920963357	482793340	39070831161	432590858	90	110927	164766728	417050	1949	240469
TARA_R110002094	50608501993	518148292	38285751915	431659598	89	100982	145956598	210334	1934	212476
TARA_B110000114	35209039491	351574504	30344152377	325056836	93	226011	267906790	105498	1325	404009
TARA_R110002110	49919134317	505233614	39681398247	442058347	90	315318	474335961	546617	1970	721228
TARA_B110000116	32773082391	327623186	28022345698	303538659	92	342473	354698083	86163	1067	571039
TARA_R110002111	53846057258	544488540	42847148704	476554158	90	172557	264183280	493232	2043	374402
TARA_B110000208	33609152684	336511738	29741142214	317570168	94	255445	322710011	114914	1480	442562
TARA_R110002124	50163048640	510752370	36959246045	421297956	88	216764	363481484	881629	2472	515970
TARA_A100000172	8789728212	87027012	4861394732	56912653	85	56835	61582079	77042	1138	111894
TARA_S200000501	40773679727	408427272	33807232143	374072229	90	420117	465399391	162056	1161	765168
TARA_A100000171	8856890136	95017812	4944697147	60175132	82	73799	99812943	92075	1654	156276
TARA_A100000164	41388106064	415570856	34208305292	374584396	91	441099	470461746	151716	1101	793339
TARA_B110000503	30447862235	304256672	26284582182	284108697	93	212384	301253659	158028	1822	425934
TARA_R110000868	44237306780	448210352	34548391425	389078218	89	315821	530704515	906000	2463	771737
TARA_B110000211	38546175167	386120244	30670587221	345187806	89	310344	368065544	177178	1310	561200
TARA_R110002126	45689271042	462681848	34936268200	398435499	88	213333	345185078	546486	2313	504949
TARA_B110000240	33812219217	338171936	28600116587	311139237	92	253226	306429774	88052	1364	461750
TARA_R110000851	55939706548	567752670	41295970084	469083177	88	250944	367430875	843491	1856	569538
TARA_B110000238	40484152895	404391722	35045780694	378641950	93	244612	297244591	93989	1370	447681
TARA_R110000850	42928424754	448327724	31939919284	358883489	89	201798	321024479	359610	2207	468560
TARA_B110000261	28300653458	282805050	24564902791	265064735	93	198016	244676433	99247	1411	363157
TARA_R110000823	56250506117	568812616	43301791192	486883641	89	238852	318366606	505354	1575	502653
TARA_B110000263	32400436889	324132078	27030810068	298777816	90	306012	313012049	101348	1039	514592
TARA_R110000824	48050927592	485823798	37688460960	418979116	90	300890	424631753	865736	1746	679237
TARA_B110000259	32519748426	324346516	28222193066	309043914	91	218573	272997077	121323	1434	408670
TARA_R110000822	54259031749	548647520	42182628287	472747011	89	238574	307810483	435350	1490	496116
TARA_B110000285	34204886396	342014496	29237735699	315701877	93	353156	402625591	130870	1237	632685
TARA_R110000803	43263936530	435415800	35001661197	387520462	90	156716	195020134	107256	1426	322021
TARA_B110000977	32458877761	324730830	27738040899	300364228	92	261623	347130961	129135	1624	497248
TARA_R110000796	56511371360	570438510	44165366630	494598452	89	196459	283902533	711300	1821	435824
TARA_B110000967	40241749260	403570132	32530589917	358306213	91	327465	374580018	94377	1239	577092
TARA_R110000787	42534922515	430495288	33133058622	373247110	89	203151	292364927	439044	1823	446767
TARA_B110000971	41882387792	419019388	35980789172	389790405	92	293104	338003452	97569	1258	517814
TARA_R110000782	45460804028	459375332	34443172713	396201923	87	196847	258891599	443179	1540	414021
TARA_B110000305	36072745749	359981962	31682890517	340814002	93	376864	437342961	102501	1271	658220
TARA_R110000772	46388598140	468326946	36511980509	407280293	90	204602	278590435	307838	1628	440715
TARA_B110000908	40878383776	410083042	32934066051	362668168	91	251336	311817637	87117	1426	467293
TARA_R110000744	67024366692	678021596	51146130923	574649887	89	276522	356986276	236121	1496	563270
TARA_B110000914	32735850714	327742496	27660875838	302432611	91	278672	296498620	89512	1103	477581
TARA_R110000751	47415333353	481623234	35802409452	407025327	88	215738	320968767	584879	1910	483662
TARA_B110000902	48142039181	482084694	39366283220	438981200	90	313438	391447159	314750	1446	583087
TARA_R110000737	57894819321	582808210	47873786654	521248277	92	239089	321569032	439527	1628	494680
TARA_B110000881	36045451683	361095072	29960288306	326725151	92	316862	337624543	90565	1104	540486
TARA_R110000765	46504574406	467727662	38789213360	423038719	92	291520	386183031	502284	1575	610247
