sample	read filename	metaG/metaT					
TARA_201_SRF_lt-0.22_G	BNA_ABMOSW_5_C7ANJACXX.IND31_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_205_MES_lt-0.22_G	BNA_ABNOSW_2_C7T48ACXX.IND34_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_205_MES_lt-0.22_G	BNA_ABNOSW_6_C7ANJACXX.IND34_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_205_SRF_lt-0.22_G	BNA_ABPOSW_3_C7T48ACXX.IND33_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_205_SRF_lt-0.22_G	BNA_ABPOSW_6_C7ANJACXX.IND33_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_MES_lt-0.22_G	BNA_ABQOSW_4_C7T48ACXX.IND1_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_MES_lt-0.22_G	BNA_ABQOSW_6_C7ANJACXX.IND1_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_SRF_lt-0.22_G	BNA_ABRAOSW_6_C7AD3ACXX.IND21_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_SRF_lt-0.22_G	BNA_ABROSW_5_C7T48ACXX.IND35_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_206_SRF_lt-0.22_G	BNA_ABROSW_6_C7ANJACXX.IND35_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_208_SRF_lt-0.22_G	BNA_ABSOSW_4_C7AD3ACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_208_SRF_lt-0.22_G	BNA_ABSOSW_6_C7T48ACXX.IND2_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_MES_lt-0.22_G	BNA_ABTOSW_4_C7AD3ACXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_MES_lt-0.22_G	BNA_ABTOSW_7_C7T48ACXX.IND4_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_SRF_lt-0.22_G	BNA_ABVAOSW_6_C7AD3ACXX.IND22_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_SRF_lt-0.22_G	BNA_ABVOSW_4_C7AD3ACXX.IND3_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_209_SRF_lt-0.22_G	BNA_ABVOSW_8_C7T48ACXX.IND3_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_MES_lt-0.22_G	BNA_ABXAOSW_6_C7AD3ACXX.IND24_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_MES_lt-0.22_G	BNA_ABXOSW_1_C7BJ1ACXX.IND6_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_MES_lt-0.22_G	BNA_ABXOSW_1_C7RD6ACXX.IND6_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_SRF_lt-0.22_G	BNA_ACAAOSW_1_C7BJ1ACXX.IND23_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
TARA_210_SRF_lt-0.22_G	BNA_ACAOSW_1_C7BJ1ACXX.IND5_clean.screened.tara.adapters.pair.1.fq.gz	metaG					
