OMRGC_ID	TARA_X000000368	TARA_Y200000002	TARA_A200000159	TARA_A200000113	TARA_X000001036	TARA_X000000950	TARA_S200000501	TARA_A100000164	TARA_E500000081	TARA_E500000075	TARA_E500000331	TARA_E500000178	TARA_A100001011	TARA_A100001015	TARA_A100001388	TARA_A100001037	TARA_A100001035	TARA_A100001234	TARA_B100000029	TARA_B100000003	TARA_B100000035	TARA_Y100000022	TARA_B100000315	TARA_B100000073	TARA_Y100000294	TARA_Y100000287	TARA_B100000085	TARA_Y100000031	TARA_B100000287	TARA_B100000282	TARA_B100000131	TARA_B100000123	TARA_B100000161	TARA_B100000242	TARA_B100000214	TARA_B100000212	TARA_B100000378	TARA_B000000609	TARA_B000000565	TARA_B000000557	TARA_B000000532	TARA_B100000405	TARA_B100000408	TARA_B100000401	TARA_B000000441	TARA_B000000460	TARA_B000000437	TARA_B000000477	TARA_B000000475	TARA_B100000497	TARA_B100000482	TARA_B100000470	TARA_B100000475	TARA_B100000446	TARA_B100000459	TARA_B100000427	TARA_B100000508	TARA_B100000424	TARA_B100000519	TARA_B100000749	TARA_B100000513	TARA_B100000530	TARA_B100000745	TARA_B100000524	TARA_B100000767	TARA_B100000768	TARA_B100000780	TARA_B100000795	TARA_B100000809	TARA_B100000787	TARA_B100001059	TARA_B100001063	TARA_B100001057	TARA_B100000989	TARA_B100001029	TARA_B100001013	TARA_B100001027	TARA_B100000886	TARA_B100000965	TARA_B100000959	TARA_B100000963	TARA_B100000902	TARA_B100000953	TARA_B100000900	TARA_B100000927	TARA_B100000929	TARA_B100000925	TARA_B100001113	TARA_B100001079	TARA_B100001109	TARA_B100000579	TARA_B100000586	TARA_B100000575	TARA_B100000945	TARA_B100000949	TARA_B100000941	TARA_B100000700	TARA_B100000678	TARA_B100001115	TARA_B100000686	TARA_B100000683	TARA_B100000676	TARA_B100000674	TARA_B100001123	TARA_B100001121	TARA_B100000614	TARA_B100000609	TARA_B100001250	TARA_B100001245	TARA_B100001248	TARA_B100001094	TARA_B100001105	TARA_B100001093	TARA_B100001964	TARA_B100001971	TARA_B100001287	TARA_B100001996	TARA_B100002003	TARA_B100001989	TARA_B100002019	TARA_B100001939	TARA_B100002052	TARA_B100002049	TARA_B100002051	TARA_B100001146	TARA_B100001142	TARA_B100001167	TARA_B100001540	TARA_B100001741	TARA_B100001750	TARA_B100001765	TARA_B100001758	TARA_B100001778	TARA_B100001769	TARA_B100001559	TARA_B100001564	TARA_B100001179	TARA_B100001175	TARA_B100001173	TARA_B110000008	TARA_B110000014	TARA_B110000003	TARA_B110001452	TARA_B110001454	TARA_B110001450	TARA_B110000196	TARA_B110001469	TARA_B110000046	TARA_B110000037	TARA_B110000027	TARA_B110000093	TARA_B110000091	TARA_B110000090	TARA_B110000114	TARA_B110000116	TARA_B110000208	TARA_B110000503	TARA_B110000211	TARA_B110000240	TARA_B110000238	TARA_B110000261	TARA_B110000263	TARA_B110000259	TARA_B110000285	TARA_B110000977	TARA_B110000967	TARA_B110000971	TARA_B110000305	TARA_B110000908	TARA_B110000914	TARA_B110000902	TARA_B110000881	TARA_B110000879	TARA_B110000495	TARA_B110000483	TARA_B110000858	TARA_B110000467	TARA_B110000459	TARA_B110000438	TARA_B110000444
OM-RGC.v2.033642855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107802366971071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.010018928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429256594724221	0.163069544364508	3.11630695443645	1.80215827338129	0.238609112709832	1.33213429256595	0	0	1.29736211031175	0	0	4.61390887290168	0	0	2.70743405275779	0	6.39448441247002	0	2.53836930455636	0	4.51678657074341	3.22661870503597	1.26258992805755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116306954436451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.010250478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549090909090909	0	0.578181818181818	0	0	7.86181818181818	1.08539002528976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.036547066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47619047619048	5.12925170068027	0	0	0	1.60204081632653	0	0.761904761904762	0	0	0.595238095238095	0	0	0.292517006802721	0.465986394557823	0.204081632653061	0	0	1.9421768707483	0	0	0	1.42176870748299	0	0	0	1.03401360544218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.009008712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223744292237443	0	0	0	0	0	0	0	2.4337899543379	0	0	0	0	0	0.331050228310502	0	1.03196347031963	0.587899543378995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25456621004566	0	0.625570776255708	0	1.60045662100457	0	0.67351598173516	0	0	0	16.0194063926941	29.722602739726	0	0	3.13356164383562	0	0.431506849315068	1.59018264840183	0	0	0.514840182648402	0	0	0	8.63698630136986	7.29109589041096	0	1.27853881278539	0.226027397260274	0.585616438356164	0	0	1.41552511415525	0.368721461187215	0	0	0	0.712328767123288	0	0.279680365296804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.012104802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124671916010499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335787405295631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.217847769028871	0	0	8.50524934383202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008173703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107103825136612	0	0	0	0	0	0	0	0	0	0	0	0	0.214207650273224	0	0	0
OM-RGC.v2.010263197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.008817394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0508474576271186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221468926553672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OM-RGC.v2.033535968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
