sample	mg_median
TARA_B100001146	10182.2906638484
TARA_B100001167	7757.3751980583
TARA_B100001173	12095.6406058008
TARA_B100001175	13173.8316261998
TARA_B100001179	9695.89590590589
TARA_B100001245	9899.01524124674
TARA_B100001248	12434.340038426
TARA_B100001250	11695.4141630663
TARA_B100001287	14829.2703908594
TARA_B100001540	13783.0076873408
TARA_B100001559	12373.1691835125
TARA_B100001564	14786.7770524312
TARA_B100001741	12801.6872421283
TARA_B100001750	8902.77350815425
TARA_B100001758	12385.4419718258
TARA_B100001765	9777.21406856175
TARA_B100001769	14198.9461945226
TARA_B100001778	12416.2214544947
TARA_B100001939	12390.1117486561
TARA_B100001964	12115.173704552
TARA_B100001971	11373.9686266092
TARA_B100001989	12135.567953844
TARA_B100001996	10504.1197616602
TARA_B100002003	9081.68642072234
TARA_B100002019	13494.3373532012
TARA_B100002049	9213.2123593109
TARA_B100002051	12639.6928325964
TARA_B100002052	12361.1725645863
TARA_B110000003	14372.253969228
TARA_B110000008	13460.2222153418
TARA_B110000014	11884.2883628931
TARA_B110000027	9755.17298339641
TARA_B110000037	10810.4737320615
TARA_B110000046	7428.62076715721
TARA_B110000090	10640.6528647042
TARA_B110000091	10068.4196541688
TARA_B110000093	8672.98501569121
TARA_B110000114	12247.7780305875
TARA_B110000116	10187.4850711965
TARA_B110000196	11604.5342031581
TARA_B110000208	8319.4736214581
TARA_B110000211	9339.76844397628
TARA_B110000238	12096.6727270972
TARA_B110000240	9797.5097981805
TARA_B110000259	11227.0198707924
TARA_B110000261	8439.21557542051
TARA_B110000263	9801.09042144748
TARA_B110000285	5811.6350239812
TARA_B110000305	11371.0017596916
TARA_B110000438	11033.6881579627
TARA_B110000444	11413.2077946671
TARA_B110000459	10483.1316368773
TARA_B110000467	11428.929415769
TARA_B110000483	12071.1204734797
TARA_B110000495	12262.0496681017
TARA_B110000503	9213.89685687093
TARA_B110000858	10200.6756572931
TARA_B110000879	12376.0361404986
TARA_B110000881	10254.9929182328
TARA_B110000902	10865.0790368832
TARA_B110000908	9368.38154376728
TARA_B110000914	8871.77894103296
TARA_B110000967	12282.564643929
TARA_B110000971	12207.4968860515
TARA_B110000977	7652.98989120307
TARA_B110001450	11679.4166522001
TARA_B110001452	7399.47751498745
TARA_B110001454	8282.57480388002
TARA_B110001469	8766.42018016872
TARA_E500000075	6841.71774719749
TARA_E500000081	6727.92375740181
TARA_E500000178	17655.4457470944
TARA_E500000331	12714.6434343396
TARA_S200000501	16994.7162563254
TARA_X000000368	17778.9321467483
TARA_X000000950	18283.01614351
TARA_X000001036	16768.9975376775
TARA_Y100000022	8261.18719429388
TARA_Y100000031	8096.20129184055
TARA_Y100000287	8603.31113424785
TARA_Y100000294	8166.51835443151
TARA_Y200000002	16754.1419299595
