sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_133_MES_0.22-3_G	TARA_B100001105	metaG	206007057	123212511.997422	0.59809850105	36147503029	18329219306.4052	0.507067370371342	631.414925731725
TARA_133_SRF_0.22-3_G	TARA_B100001093	metaG	245603248	181336214.00368	0.738329869333322	42483903943	26858136331.7531	0.632195580890782	631.414925731725
TARA_137_DCM_0.22-3_G	TARA_B100001964	metaG	185660411	134350936.998793	0.723638045801769	33411192986	20811064205.1911	0.622877016510947	631.414925731725
TARA_137_MES_0.22-3_G	TARA_B100001971	metaG	193196961	128072579.998514	0.662911980269265	34563027616	19871611755.4986	0.574938398807968	631.414925731725
TARA_137_SRF_0.22-3_G	TARA_B100001287	metaG	174409048	128416560.995272	0.7362952924052	30412213248	19082234305.0125	0.627452995591087	631.414925731725
TARA_138_DCM_0.22-3_G	TARA_B100001996	metaG	181615900	108461284.997312	0.597201483996234	30970555564	15364259068.2763	0.496092459062491	631.414925731725
TARA_138_MES_0.22-3_G	TARA_B100002003	metaG	165949364	108207820.999025	0.652053243174978	29553798419	16459826159.2831	0.556944522863806	631.414925731725
TARA_138_SRF_0.22-3_G	TARA_B100001989	metaG	162601412	104847589.997574	0.644813527188642	28838038121	15547086738.7394	0.539117351655693	631.414925731725
TARA_140_SRF_0.22-3_G	TARA_B100002019	metaG	174905082	129291648.995291	0.739210362082509	31392579154	19725010277.6196	0.628333536434079	631.414925731725
TARA_141_SRF_0.22-3_G	TARA_B100001939	metaG	162218002	116770957.99677	0.719839700631809	28472579199	17072125873.4315	0.599598854536897	631.414925731725
TARA_142_DCM_0.22-3_G	TARA_B100002052	metaG	149314705	106674063.997964	0.714424369642388	26549309184	16392478159.2556	0.617435205023512	631.414925731725
TARA_142_MES_0.22-3_G	TARA_B100002049	metaG	156404468	96537185.9990183	0.617227801951402	27513271132	14148544483.515	0.514244359227034	631.414925731725
TARA_142_SRF_0.22-3_G	TARA_B100002051	metaG	150042276	107371987.997976	0.715611565356258	26588911670	16541452977.4449	0.622118467380088	631.414925731725
TARA_145_MES_0.22-3_G	TARA_B100001146	metaG	166256611	98612291.9989193	0.593133057421213	29066844971	14586737940.5084	0.501834236053537	631.414925731725
TARA_145_SRF_0.22-3_G	TARA_B100001142	metaG	166311030	105689060.998392	0.635490388090269	29102367055	16072637393.4583	0.552279385490634	631.414925731725
