Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation
OM-RGC.v2.036788327	OM-RGC.v2.013681446	0.979219365662886	GC	NA
OM-RGC.v2.007647989	OM-RGC.v2.033132481	0.979190989313541	GC	NA
OM-RGC.v2.000737706	OM-RGC.v2.000909399	0.979072400081419	GC	NA
OM-RGC.v2.010606390	OM-RGC.v2.000909399	0.978786055346932	GC	NA
OM-RGC.v2.017701770	OM-RGC.v2.008509389	0.978550547228917	GC	NA
OM-RGC.v2.008509389	OM-RGC.v2.017701770	0.978550547228917	GC	NA
OM-RGC.v2.004036444	OM-RGC.v2.006889331	0.978532572082541	GC	NA
OM-RGC.v2.006889331	OM-RGC.v2.004036444	0.978532572082541	GC	NA
OM-RGC.v2.014800124	OM-RGC.v2.027298258	0.978510846588856	GC	NA
OM-RGC.v2.021453737	OM-RGC.v2.007647989	0.978469184935946	GC	NA
OM-RGC.v2.006538266	OM-RGC.v2.001175544	0.978444891398398	GC	NA
OM-RGC.v2.001175544	OM-RGC.v2.006538266	0.978444891398398	GC	NA
OM-RGC.v2.040203357	OM-RGC.v2.024720043	0.978028823213665	GC	NA
OM-RGC.v2.024720043	OM-RGC.v2.040203357	0.978028823213665	GC	NA
OM-RGC.v2.000024134	OM-RGC.v2.009257213	0.977879160230452	GC	NA
OM-RGC.v2.021052265	OM-RGC.v2.002002720	0.977815733624727	GC	NA
OM-RGC.v2.037517130	OM-RGC.v2.042040357	0.977814173555297	GC	NA
OM-RGC.v2.042040357	OM-RGC.v2.037517130	0.977814173555297	GC	NA
OM-RGC.v2.011911879	OM-RGC.v2.023181547	0.977555474345968	GC	NA
OM-RGC.v2.000819370	OM-RGC.v2.009762760	0.977531569636226	GC	NA
OM-RGC.v2.006740065	OM-RGC.v2.010850912	0.977524432750236	GC	NA
OM-RGC.v2.002540559	OM-RGC.v2.013186519	0.977337224964356	GC	NA
OM-RGC.v2.001263344	OM-RGC.v2.012972574	0.977071621760297	GC	NA
OM-RGC.v2.012972574	OM-RGC.v2.001263344	0.977071621760297	GC	NA
OM-RGC.v2.000003758	OM-RGC.v2.003271231	0.977032647608171	GC	NA
OM-RGC.v2.003271231	OM-RGC.v2.000003758	0.977032647608171	GC	NA
OM-RGC.v2.006262146	OM-RGC.v2.007100288	0.976903894753967	GC	NA
OM-RGC.v2.007100288	OM-RGC.v2.006262146	0.976903894753967	GC	NA
