Barcode	Sample_name_original	Sample_name_goodlayer	lower.size.fraction	upper.size.fraction	Genome_size	Latitude	Longitude	Depth.nominal	Layer	Temperature	Salinity	ChlorophyllA	Biogeographical.province	Eukaryota.prop
TARA_B100001113	TARA_110_DCM_0.22-3	TARA_110_DCM	0.22	3	1899.49554613223	-1.9002	-84.6265	50	DCM	22.039785	35.112815	0.282031	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.05303864867346
TARA_B100001079	TARA_110_MES_0.22-3	TARA_110_MES	0.22	3	1696.8894267933	-1.8902	-84.6141	380	MES	10.082375	34.747805	0.007712	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.239596469104666
TARA_B100001109	TARA_110_SRF_0.22-3	TARA_110_SRF	0.22	3	1690.7213826464	-2.0133	-84.589	5	SRF	23.88816	35.012435	0.246175	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0323408145370422
TARA_B100000579	TARA_111_DCM_0.22-3	TARA_111_DCM	0.22	3	1699.21716642622	-16.9587	-100.6751	90	DCM	19.783275	35.69581	0.207911	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0306757851165302
TARA_B100000586	TARA_111_MES_0.22-3	TARA_111_MES	0.22	3	1647.65221424957	-16.9486	-100.6715	350	MES	10.69894	34.7072	0.015423	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.11211919163055
TARA_B100000575	TARA_111_SRF_0.22-3	TARA_111_SRF	0.22	3	1636.54268035869	-16.9601	-100.6335	5	SRF	22.78183	35.98269	0.154999	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0554492498391303
TARA_B100000945	TARA_112_DCM_0.22-3	TARA_112_DCM	0.22	3	1750.67089789461	-23.2189	-129.4997	155	DCM	21.94937	35.90434	0.145434	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0669754981302673
TARA_B100000949	TARA_112_MES_0.22-3	TARA_112_MES	0.22	3	1738.28795960001	-23.2232	-129.5986	696	MES	5.749106	34.306075	0	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0383553044569994
TARA_B100000941	TARA_112_SRF_0.22-3	TARA_112_SRF	0.22	3	1577.39851537879	-23.2811	-129.3947	5	SRF	24.26287	36.43917	0.055382	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0517563405203486
TARA_B100000700	TARA_122_DCM_0.22-3	TARA_122_DCM	0.22	3	1827.37814591251	-9.0063	-139.1394	115	DCM	24.661385	36.101175	0.199886	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.046096814054693
TARA_B100000678	TARA_122_MES_0.22-3	TARA_122_MES	0.22	3	1671.88417180409	-8.9729	-139.2393	600	MES	7.133995	34.5789	0	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0526329467000459
TARA_B100001115	TARA_122_SRF_0.22-3	TARA_122_SRF	0.22	3	1622.87720224785	-8.9971	-139.1963	5	SRF	26.60467	35.37032	0.177137	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0253777551869137
TARA_B100000686	TARA_123_MIX_0.22-3	TARA_123_MIX	0.22	3	1696.82858206822	-8.9109	-140.2845	150	MIX	21.97372	35.877315	0	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0421368424641189
TARA_B100000683	TARA_123_SRF_0.22-3	TARA_123_SRF	0.22	3	1985.42991875872	-8.9068	-140.283	5	SRF	26.586685	35.3551	0.181215	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.110198933415946
TARA_B100000676	TARA_124_MIX_0.22-3	TARA_124_MIX	0.22	3	1659.53894146057	-9.0714	-140.5973	120	MIX	24.81397	35.907345	0.077051	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0200539376703923
TARA_B100000674	TARA_124_SRF_0.22-3	TARA_124_SRF	0.22	3	1695.22426268056	-9.1504	-140.5216	5	SRF	26.572419	35.384031	0.261381	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0300340772604117
TARA_B100001123	TARA_125_MIX_0.22-3	TARA_125_MIX	0.22	3	1791.46679160272	-8.8999	-142.5461	140	MIX	23.681605	36.28145	0	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0778050355067786
TARA_B100001121	TARA_125_SRF_0.22-3	TARA_125_SRF	0.22	3	1560.53498474672	-8.9111	-142.5571	5	SRF	26.80604	35.42651	0.178072	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0.0233593053455828
TARA_B100000614	TARA_128_DCM_0.22-3	TARA_128_DCM	0.22	3	1716.05536557798	0.0222	-153.6858	40	DCM	26.139288	35.146525	0.28262	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	0.0495893584620791
TARA_B100000609	TARA_128_SRF_0.22-3	TARA_128_SRF	0.22	3	1638.1698822944	3e-04	-153.6759	5	SRF	26.218438	35.129025	0.25349	[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)	0.0441594474248407
TARA_B100001250	TARA_132_DCM_0.22-3	TARA_132_DCM	0.22	3	2142.74485027793	31.5168	-159.046	115	DCM	15.321075	34.39568	0.158691	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0.119022610426226
TARA_B100001245	TARA_132_MES_0.22-3	TARA_132_MES	0.22	3	1692.57841991953	31.528	-159.0224	550	MES	6.634392	33.991383	0	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0.124809918316811
TARA_B100001248	TARA_132_SRF_0.22-3	TARA_132_SRF	0.22	3	1558.26527738125	31.5213	-158.9958	5	SRF	25.164595	35.19025	0.101563	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0.0434447611002293
TARA_B100001094	TARA_133_DCM_0.22-3	TARA_133_DCM	0.22	3	2340.5222685389	35.4002	-127.7499	45	DCM	13.874505	33.208145	0.389715	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0.0617205328238603
TARA_B100001105	TARA_133_MES_0.22-3	TARA_133_MES	0.22	3	1573.46294546755	35.2698	-127.7268	650	MES	4.918875	34.333562	0	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0.154446741038564
TARA_B100001093	TARA_133_SRF_0.22-3	TARA_133_SRF	0.22	3	1806.71679698068	35.3671	-127.7422	5	SRF	19.24802	33.07013	0.140785	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0.0290873557679437
